venue_id,name,subcategory,area,discovery_areas,vibe_description,address,phone,whatsapp,website,instagram,opening_hours,booking_url,booking_provider,cover_charge_note,day_pass_price,happy_hour_note,item_count,priced_count,primary_source_url,evidence_count,date_crawled
bef352e648aabeea,Segno,bar,Canggu,Seminyak Bali,"Stylish atmosphere, skilled mixologists, high-quality ingredients, creative twists on classics, and signature concoctions for a long night of conversations over well-crafted cocktails.",Next to Varuna warung,,,https://balihoneymoon.com,,,,unknown,,,,0,0,https://balihoneymoon.com/explore/speakeasy-bars/,1,2026-08-25T20:35:13+00:00
864aed2cd9df0424,THE GOAT,bar,Seminyak,Seminyak Bali,"Open for Breakfast, Lunch, Dinner and Late Night Bites, with Live Music and DJ’s every night from 8pm.","Jalan Kayu Aya No. 176 A Oberoi Kerobokan Kelod, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",,6282146180370,https://thegoatbali.com,https://www.instagram.com/thegoatseminyak/,OPEN 9AM TILL XLATE DAILY,https://mgl.io/7qvyO,website_form,,,,3,3,https://thegoatbali.com/,2,2026-08-25T20:35:13+00:00
94b20e7dafe5eca2,FINNS Beach Club,beach_club,Canggu,"Nusa Dua Bali,Sanur Bali,Seminyak Bali","A vibrant beach club atmosphere with a lively pool scene, DJs, and entertainment throughout the day. Offers a combination of relaxation and celebration.","Jl. Pantai Berawa No.99, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,https://bestbeachclubsbali.com,https://www.instagram.com/finnsbeachclub/,Open daily from 11 a.m.,https://finnsbeachclub.com/,website_form,,,,3,3,https://bestbeachclubsbali.com/round-ups/are-bali-beach-clubs-expensive/,1,2026-08-25T20:35:13+00:00
63f17890fb9f84e9,Kuta Nightlife,nightclub,Seminyak,"Canggu Bali,Denpasar Bali,Kuta Bali,Legian Bali,Nusa Dua Bali,Padang Padang Uluwatu,Sanur Bali,Seminyak Bali,Ubud Bali","Popular nightlife activities in Seminyak, including private tours and events",,,,https://getyourguide.com,,Wednesday to Sunday,https://www.getyourguide.com/kuta-l2849/,website_form,,100,"1-hour vodka open bar, included Wednesday through Sunday.",11,0,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/,2,2026-08-25T20:35:13+00:00
fa787e8dd8187c16,Sundays Beach Club,beach_club,Uluwatu,Seminyak Bali,"from the gorgeous location and chilled out vibe to the excellent food, Sundays is the perfect place to spend the day.","Jalan Pantai Selatan Gau, Banjar Wijaya Kusuma, Ungasan 80362",,,https://stokedtotravel.com,https://instagram.com/stokedtotravel,9am,https://www.sundaysbeachclub.com/#daypass,website_form,"A standard adult day pass now runs around IDR 800,000 (£33/AUD 66/USD 45), including roughly IDR 500,000 in food and beverage credit.",800000,"A reserved lounger/sunbed option includes extras like a towel, wifi and watersports bundled in.",2,2,https://www.stokedtotravel.com/spending-the-day-sundays-beach-club-bali/,2,2026-08-25T20:35:13+00:00
497bbbaf383baecc,Bali Beach Club Pass,beach_club,Uluwatu,"Berawa Canggu,Legian Bali,Seminyak Bali,Uluwatu Bali","Instant access to free drinks, VIP discounts, and the island’s most coveted daybeds.","Pantai Melasti, Ungasan, South Kuta, Badung Regency, Bali 80361",,6281230003001,https://balibeachclubpass.com,https://instagram.com/balibeachclubpass,Daily 10am - 9pm,https://balibeachclubpass.com/products/bali-beach-club-pass,website_form,Free entry with minimum spend depending on seating options.,,,21,8,https://balibeachclubpass.com/,2,2026-08-25T20:35:13+00:00
f1e21d2c59da295a,Eden Hookah Club,hookah_lounge,Semenyak,"Berawa Canggu,Petitenget Seminyak,Seminyak Bali",Your path to beauty and relaxation in Bali begins with LASER ME and EDEN HOOKAH CLUB!,,6289519697650,6289519697650,https://edenhookah.com,https://www.instagram.com/EDENloungeCANGGU/,10:00 - 03:00,https://edenhookah.com/#open_left,unknown,,,,3,0,https://edenhookah.com/,2,2026-08-25T20:35:13+00:00
b7e396370b2852e4,The Shisha House,hookah_lounge,Seminyak,Seminyak Bali,"Elegant open-air restaurant and shisha bar with a comfortable Middle Eastern atmosphere, relaxing music, and a garden view.",,,,https://sites.google.com,https://www.instagram.com/shishahouse.seminyak/,"Open for breakfast, lunch and dinner.",,unknown,,,,3,0,https://sites.google.com/view/restaurant-shisha-seminyak/home,1,2026-08-25T20:35:13+00:00
4dc27686769eb579,Eden,hookah_lounge,Seminyak | Canggu | Ubud | Uluwatu,Seminyak Bali,Most Authentic Shisha Lounge in Bali - Where Smoke Becomes Art. Excellent shisha & Exclusive tobacco. Live music & DJ beats.,,6281328309995,6281328309995,https://taplink.cc,https://instagram.com/Edenhookahclub/,,https://edenhookah.com/,website_form,,,,0,0,https://taplink.cc/edenhookahclub,2,2026-08-25T20:35:13+00:00
e74295b1690e33fc,Misha Shisha Ubud,hookah_lounge,Ubud,Seminyak Bali,An atmospheric hookah lounge and shop in one location on the map! Unique design and a wide selection of tobaccos.,"Jl. Made Lebah, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Индонезия",,,https://where2smoke.net,,Open at 14:00,,unknown,,200000,,1,1,https://where2smoke.net/en/Bali,1,2026-08-25T20:35:13+00:00
