STATUS,priority,district,venue,product,what_to_verify,current_value_we_have,how_to_check,CONFIRMED_value,CONFIRMED_by,date
✅ VERIFIED Jul-2026,P1,Nusa Dua,The Apurva Kempinski Bali,Reef Beach Club (day access),FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,Free entry (dropped day-pass fee 2021); reserve ahead + seat min-spend/deposit 2026 [BLOG/2021 — VERIFY],TableCheck (advance res),"CONFIRMED: free entry + free pool/loungers, no minimum; advance reservation now required; cabanas may carry min",bestbeachclubsbali + elsky Jun-2026,2026-07-19
,P1,Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Sunday Pink Brunch,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 1,250,000/adult; teen 625,000; free-flow alcohol from 780,000 [OFFICIAL]",hotel form/email,,,
,P1,Jimbaran,InterContinental Bali Resort,Bale Kambang / pool day pass,Re-confirm the current price at source.,"Rp 500,000 (incl 250,000 F&B/spa credit) [BLOG]",hotel/concierge,,,
,P1,Jimbaran,Movenpick Jimbaran,International Sunday Brunch (Anarasa),FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"adult IDR 700,000++; kids 350,000++; free-flow +450,000++ [BLOG]",email/WhatsApp,,,
,P1,Jimbaran,RIMBA by AYANA (UNIQUE),UNIQUE Rooftop Bar & Restaurant,No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck/Chope,,,
✅ VERIFIED Jul-2026,P1,Nusa Dua,Sofitel Bali Nusa Dua,Manarai Beach House,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,free entry; daybeds w/ F&B min-spend [BLOG],direct WhatsApp,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
,P1,Nusa Dua,The Ritz-Carlton Bali,Sunday brunch (Senses/Beach Grill),No price published — get the current price (or confirm the product exists).,[NO DATA],email/phone,,,
,P1,Nusa Dua,The Westin Resort Nusa Dua,Prego Brunchissimo (monthly),Re-confirm the current price at source.,"IDR 690,000++/adult; child 345,000++ [BLOG]",Chope + WhatsApp,,,
✅ VERIFIED Jul-2026,P1,Sanur,Hyatt Regency Bali,Resort Day Pass,Re-confirm the current price at source.,"IDR 250,000++ adult (incl 200k F&B credit) [BLOG]",Walk-in,"CORRECTED: not a formal pass — ~250k++ min F&B spend at Pizzaria, pool access at discretion; not on DayPass app",tripadvisor Q&A + rollingalong 2026,2026-07-19
✅ VERIFIED Jul-2026,P1,Sanur,InterContinental Bali Sanur (fmr Fairmont),Sunday Lobster Brunch @ Layang Layang/Nyala,Price is stale/legacy — get the current one.,"IDR 490,000++ food-only; bev from 150k++ [LEGACY/BLOG]",Hotel phone,CORRECTED: legacy 490k -> newest 555k++ (Chope) BUT venue appears temporarily closed; not on official channels — mark may-be-paused,chope.co + balisanur.intercontinental.com 2026,2026-07-19
✅ VERIFIED Jul-2026,P1,Sanur,Segara Village (Byrd House Beach Club),Free beach-club entry,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"FREE — no entry, no min-spend [BLOG]",Walk-in; daybed byrdhousebali.com,"CONFIRMED: free entry, no minimum (small towel fee for pool)",bestbeachclubsbali + explorethebali 2026,2026-07-19
,P1,Sanur,The Meru Sanur,Roso,Re-confirm the current price at source.,"Rasa Nusa Fri IDR 650,000++; family set from 500k [OFFICIAL]",TableCheck/hotel,,,
✅ VERIFIED Jul-2026,P1,Seminyak,Cocoon Beach Club,General entry / daybed,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"free entry, NO published daybed min-spend (FCFS) [BLOG]",WhatsApp/Chope,"CORRECTED: ""no minimum"" was FALSE — pool daybed min from IDR500k (redeemable); entry free",cocoon site + explorethebali 2025-26,2026-07-19
✅ VERIFIED Jul-2026,P1,Seminyak,Hotel Indigo Bali Seminyak,SugarSand beach-club pool access,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"free walk-in pool; daybed min-spend ~IDR 600,000/pax [BLOG]",walk-in/SugarSand,CONFIRMED: no entry fee but pool needs a purchase; daybed min IDR400k,bestbeachclubsbali review 2025-26,2026-07-19
✅ VERIFIED Jul-2026,P1,Seminyak,Potato Head Beach Club,Daybed min-spend (blog-reported),Re-confirm the current price at source.,"IDR 1,500,000-2,500,000 (varies) [BLOG]",website/walk-in,CONFIRMED: free most of day; IDR200k redeemable cover 16:00–18:30; daybed separate min,seminyak.potatohead.co official 2026,2026-07-19
✅ VERIFIED Jul-2026,P1,Seminyak,W Bali Seminyak,WET pool / WooBar day access,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"free entry; daybed min-spend IDR 2,000,000++ up to 4pax; towel 40k [BLOG]",DayPass app/walk-in,CONFIRMED: bar walk-in no min; pool daybeds from ~IDR2.0M++ (was understated at 1M),bestbeachclubsbali + balibeachclubpass 2025-26,2026-07-19
,P1,Ubud,Bambu Indah,Pool Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"from IDR 1,028,500 [OFFICIAL]",DayPass app,,,
,P1,Ubud,Kappa Senses Ubud,Kelapa Day Pass,Re-confirm the current price at source.,"IDR 600,000 nett F&B credit / 2pax [BLOG]",Megatix/Chope,,,
✅ VERIFIED Jul-2026,P1,Uluwatu,El Kabron,Cliff/Mediterranean club (Pecatu),FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,free entry; seat min-spend table 400k/pax to VIP Royal 3M/6pax; F&B credit [BLOG],WhatsApp/elkabron.com,"CORRECTED: 350k was the POOL fee not seat min; reservation-only, seat min ~400k–1M/pax",elsky Jun-2026 + elkabron.com pricelist,2026-07-19
,P2,Benoa,Novotel Bali Benoa,Uluwatu Restaurant + Nanas Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],direct/WhatsApp,,,
,P2,Canggu,Desa Kitsune,Desa Kitsune,No price published — get the current price (or confirm the product exists).,a la carte high-end; daybeds NO published min-spend [NO DATA],WhatsApp/website,,,
,P2,Canggu,Hotel Tugu Bali (Ji),JI Restaurant (signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],hotel/jirestaurantbali.com,,,
,P2,Canggu,The Slow,The Slow Kitchen & Bar,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],website/WhatsApp/walk-in,,,
,P2,Canggu,Woods,Woods Pererenan,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope/woodsbali.com,,,
,P2,Canggu,Zai Cafe,Zai Cafe,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],cafezai.com (NowBookIt),,,
,P2,Jimbaran,AYANA Resort (Kisik),Kisik Lounge & Seafood,No price published — get the current price (or confirm the product exists).,[NO DATA] premium cliffside seafood,TableCheck/Chope,,,
,P2,Jimbaran,Belmond Jimbaran Puri,Nelayan Restaurant & Puri Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],Chope/hotel,,,
,P2,Jimbaran,InterContinental Bali Resort,Sunset Beach Bar & Grill,No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck,,,
,P2,Jimbaran,InterContinental Bali Resort,KO Japanese,No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck,,,
,P2,Jimbaran,Kampoeng Seafood,Grilled seafood on sand,No price published — get the current price (or confirm the product exists).,[NO DATA]; benchmark Rp 250-500k/pax,WhatsApp/walk-in,,,
,P2,Jimbaran,Menega Cafe,Grilled seafood on sand,No price published — get the current price (or confirm the product exists).,[NO DATA]; scene benchmark Rp 200-500k/pax,WhatsApp/walk-in,,,
,P2,Nusa Dua,"Amarterra Villas (Autograph, ex-MGallery)",Day pass,No price published — get the current price (or confirm the product exists).,[NO DATA],none found,,,
,P2,Nusa Dua,"Amarterra Villas (Autograph, ex-MGallery)",Maja + Amarterra by The Bay + Pool Terrace,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope + Marriott + WhatsApp,,,
,P2,Nusa Dua,Ayodya Resort Bali,Sunday brunch,No price published — get the current price (or confirm the product exists).,[NO DATA],[NO DATA],,,
,P2,Nusa Dua,Ayodya Resort Bali,"Beach Club & Grill (+GENJI, Ganesha, Waterfall)",No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],WhatsApp only,,,
,P2,Nusa Dua,Courtyard by Marriott Nusa Dua,MoMo Cafe (all-day) + afternoon tea,No price published — get the current price (or confirm the product exists).,"MoMo 2 Go afternoon tea IDR 100,000/pax [OFFICIAL]; meals a la carte [NO DATA]",direct,,,
,P2,Nusa Dua,Grand Hyatt Bali,Sunday brunch,No price published — get the current price (or confirm the product exists).,[NO DATA],n/a,,,
,P2,Nusa Dua,Grand Hyatt Bali,Salsa Verde (Italian),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],phone/WhatsApp/email only,,,
,P2,Nusa Dua,Grand Hyatt Bali,Nampu (Japanese/teppanyaki),No price published — get the current price (or confirm the product exists).,[NO DATA],phone/email,,,
,P2,Nusa Dua,Grand Hyatt Bali,Pasar Senggol (night-market+dance),No price published — get the current price (or confirm the product exists).,buffet+show [NO DATA],phone/email,,,
,P2,Nusa Dua,Hilton Bali Resort,HamaSei (Japanese signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],email only,,,
,P2,Nusa Dua,Hilton Bali Resort,Grain (all-day/buffet),No price published — get the current price (or confirm the product exists).,a la carte/buffet [NO DATA],Chope + email,,,
,P2,Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Gading/Homaya/Ja'Jan + Paradise Beach Club,No price published — get the current price (or confirm the product exists).,"a la carte [NO DATA]; Escape to Romance beachside dining from IDR 2,650,000/couple [OFFICIAL]",direct/website/WhatsApp,,,
,P2,Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Tetaring Balinese buffet+dance dinners,No price published — get the current price (or confirm the product exists).,[NO DATA],direct/phone/WhatsApp,,,
,P2,Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Raja's Balinese (+ Tetaring),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],WhatsApp only,,,
,P2,Nusa Dua,Paradisus by Melia Bali,Sunday brunch,No price published — get the current price (or confirm the product exists).,[NO DATA],[NO DATA],,,
,P2,Nusa Dua,Paradisus by Melia Bali,Sateria + Tokimeku/Malva/Peseta/Samira,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope + Melia.com,,,
,P2,Nusa Dua,Samabe Bali Suites & Villas,Day Pass with Lunch,No price published — get the current price (or confirm the product exists).,[NO DATA] (Klook JS-gated),Klook (channel taken),,,
✅ VERIFIED Jul-2026,P2,Nusa Dua,Sofitel Bali Nusa Dua,Cucina (Italian signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],ResDiary,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P2,Nusa Dua,Sofitel Bali Nusa Dua,Kwee Zeen (pan-Asian all-day),No price published — get the current price (or confirm the product exists).,[NO DATA],Dish Cult (Accor)/phone,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P2,Nusa Dua,The Apurva Kempinski Bali,Izakaya by OKU,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],likely TableCheck/concierge [inferred],"CONFIRMED: free entry + free pool/loungers, no minimum; advance reservation now required; cabanas may carry min",bestbeachclubsbali + elsky Jun-2026,2026-07-19
,P2,Nusa Dua,The Laguna (Luxury Collection),Lagoon Pool & Beach Day Pass,No price published — get the current price (or confirm the product exists).,"LEGACY 2019: IDR 500,000/adult, 250,000/child + credit; current [NO DATA]",DayPass + Chope + direct,,,
,P2,Nusa Dua,The Laguna (Luxury Collection),Arwana (beachfront seafood),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope,,,
,P2,Nusa Dua,The Mulia & Mulia Resort,Soleil (signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],EatApp + direct,,,
,P2,Nusa Dua,The Mulia & Mulia Resort,Table8 (Cantonese/Szechuan),No price published — get the current price (or confirm the product exists).,a la carte/dim sum [NO DATA],Chope + direct,,,
,P2,Nusa Dua,The Ritz-Carlton Bali,Missoni Resort Club (day-club access),No price published — get the current price (or confirm the product exists).,[NO DATA],SevenRooms / phone,,,
,P2,Nusa Dua,The Ritz-Carlton Bali,Bejana (Indonesian fine dining signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],SevenRooms + Chope + phone,,,
,P2,Nusa Dua,The Ritz-Carlton Bali,The Beach Grill (signature beachfront),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],SevenRooms + phone,,,
,P2,Nusa Dua,The St. Regis Bali,Kayuputi (signature),No price published — get the current price (or confirm the product exists).,a la carte/degustation [NO DATA],TableCheck+Chope+SevenRooms,,,
,P2,Nusa Dua,The Westin Resort Nusa Dua,Prego (Italian signature),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope + Marriott,,,
,P2,Sanur,Andaz Bali,Fisherman's Club,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],TableCheck/phone,,,
,P2,Sanur,"Bali Beach Hotel, Heritage Collection (fmr Grand Inna)",Bali Beach Bar & Grill,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],hotel/WhatsApp/Linktree,,,
,P2,Sanur,Hyatt Regency Bali,Pizzaria,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],phone/email,,,
,P2,Sanur,InterContinental Bali Sanur (fmr Fairmont),Pool Day Pass,No price published — get the current price (or confirm the product exists).,[NO DATA],Official IHG site/concierge,,,
,P2,Sanur,InterContinental Bali Sanur (fmr Fairmont),Pier Eight,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],WhatsApp/email; Chope,,,
,P2,Sanur,InterContinental Bali Sanur (fmr Fairmont),Nyala Beach Club & Grill,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],WhatsApp; Chope,,,
,P2,Sanur,Maya Sanur Resort & Spa,Tree Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],direct phone/WhatsApp,,,
,P2,Sanur,Mercure Resort Sanur,Pandawa Restaurant,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Dish Cult (Accor) + WhatsApp,,,
,P2,Sanur,Prama Sanur Beach,Pool/Super Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 150,000++ min-spend/adult, kids<12 free [BLOG]; official [NO DATA]",pramahotels.com booking engine,,,
,P2,Sanur,Prama Sanur Beach,Basilico Italian Pavilion,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],direct email/phone (no TableCheck/Chope),,,
,P2,Sanur,Prime Plaza Hotel Sanur (fmr Sanur Paradise Plaza),Sanur Harum,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],direct phone/WhatsApp/email,,,
,P2,Sanur,Puri Santrian,Beach Club Restaurant,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],online inquiry form (24h),,,
,P2,Sanur,Sudamala Resort Sanur,ARES Restaurant,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope/phone/WhatsApp,,,
,P2,Sanur,Tandjung Sari,The Restaurant at Tandjung Sari,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA] official (~USD40pp blog est),WhatsApp/phone (no online system),,,
,P2,Seminyak,Alila Seminyak,Seasalt (signature seafood),No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck,,,
,P2,Seminyak,Barbacoa,Signature dinner,No price published — get the current price (or confirm the product exists).,[NO DATA],NowBookIt/WhatsApp,,,
,P2,Seminyak,Double-Six Luxury Hotel,The Plantation Grill (signature),No price published — get the current price (or confirm the product exists).,[NO DATA],plantationgrillbali.com/hotel,,,
,P2,Seminyak,Grand Seminyak (ex-Anantara),MoonLite Sky Brunch (Sunday),No price published — get the current price (or confirm the product exists).,[NO DATA],grandseminyak.com/Klook,,,
✅ VERIFIED Jul-2026,P2,Seminyak,Hotel Indigo Bali Seminyak,Makase / SugarSand (signature),No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/walk-in,CONFIRMED: no entry fee but pool needs a purchase; daybed min IDR400k,bestbeachclubsbali review 2025-26,2026-07-19
,P2,Seminyak,La Lucciola,Signature beachfront dinner,No price published — get the current price (or confirm the product exists).,[NO DATA],resOS/WhatsApp,,,
,P2,Seminyak,Motel Mexicola,Signature party-dining,No price published — get the current price (or confirm the product exists).,[NO DATA],SevenRooms/email,,,
,P2,Seminyak,The Oberoi Bali,Kura Kura (signature),No price published — get the current price (or confirm the product exists).,[NO DATA],hotel,,,
✅ VERIFIED Jul-2026,P2,Seminyak,W Bali Seminyak,Starfish Bloo / Fire / WooBar,No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck/walk-in,CONFIRMED: bar walk-in no min; pool daybeds from ~IDR2.0M++ (was understated at 1M),bestbeachclubsbali + balibeachclubpass 2025-26,2026-07-19
,P2,Tanjung Benoa,Conrad Bali,Rin (Japanese),No price published — get the current price (or confirm the product exists).,[NO DATA],TableCheck + email,,,
,P2,Tanjung Benoa,Grand Mirage Resort & Thalasso,day pass,No price published — get the current price (or confirm the product exists).,[NO DATA] / likely discontinued [LEGACY],Klook listing dead; official overnight-only,,,
,P2,Tanjung Benoa,Holiday Inn Resort Bali Benoa,Nudi's Beach Bar & Restaurant,No price published — get the current price (or confirm the product exists).,[NO DATA],direct (no online),,,
,P2,Tanjung Benoa,Hotel Nikko Bali Benoa Beach,Giorgio (Italian signature),No price published — get the current price (or confirm the product exists).,[NO DATA],direct/phone (no online),,,
,P2,Tanjung Benoa,Hotel Nikko Bali Benoa Beach,NAGISA Izakaya (Japanese),No price published — get the current price (or confirm the product exists).,[NO DATA],direct/phone,,,
,P2,Tanjung Benoa,Sadara Boutique Beach Resort,Santai Beach House (beachfront),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope,,,
,P2,Tanjung Benoa,The Sakala Resort Bali,Sakala Beach Club (beachfront dining),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope + TableCheck + phone,,,
,P2,Ubud,Bisma Eight,Copper Kitchen & Bar (Rooftop),No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/walk-in,,,
,P2,Ubud,Buahan a Banyan Tree Escape,Open Kitchen,No price published — get the current price (or confirm the product exists).,[NO DATA],phone/email,,,
,P2,Ubud,COMO Uma Ubud (Uma Cucina),Uma Cucina (a la carte),No price published — get the current price (or confirm the product exists).,[NO DATA] set price,Chope,,,
,P2,Ubud,Capella Ubud (Auriga),Auriga (main dining),No price published — get the current price (or confirm the product exists).,[NO DATA],Capella concierge/WhatsApp,,,
,P2,Ubud,Four Seasons Sayan (Ayung Terrace),Ayung Terrace,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/OpenTable,,,
,P2,Ubud,Four Seasons Sayan (Sokasi),Sokasi Farmer's Sunday Brunch,No price published — get the current price (or confirm the product exists).,[NO DATA] price,concierge/email,,,
,P2,Ubud,Hanging Gardens of Bali,Pool + Dinner + Spa Day Pass,No price published — get the current price (or confirm the product exists).,~USD 140/pax via ResortPass bundle; pool-only [NO DATA],ResortPass/DayPass/WhatsApp,,,
,P2,Ubud,Samsara Ubud (The Kelusa),The Kelusa,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel,,,
,P2,Ubud,Viceroy Bali (CasCades),CasCades Restaurant & Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/OpenTable/Pelago,,,
,P2,Uluwatu,Alila Villas Uluwatu,CIRE / Sunset Cabana Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/concierge,,,
,P2,Uluwatu,Anantara Uluwatu,360 Rooftop,No price published — get the current price (or confirm the product exists).,[NO DATA],Chope/phone,,,
,P2,Uluwatu,Bulgari Resort Bali,Il Ristorante (Niko Romito) / La Spiaggia,No price published — get the current price (or confirm the product exists).,[NO DATA],concierge/hotel,,,
,P2,Uluwatu,Radisson Blu Bali Uluwatu,Filini (Italian),No price published — get the current price (or confirm the product exists).,[NO DATA],Chope,,,
,P2,Uluwatu,Renaissance Bali Uluwatu,Infinity Pool Day Pass,No price published — get the current price (or confirm the product exists).,[NO DATA]; brief ~IDR 350k/US$24 unverified,Klook,,,
,P2,Uluwatu,Renaissance Bali Uluwatu,Rii (rooftop) / Fishbone,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/Marriott,,,
✅ VERIFIED Jul-2026,P2,Uluwatu,Single Fin,Cliff sunset bar (Suluban),No price published — get the current price (or confirm the product exists).,"no entry fee; seat min-spend [NO DATA]; pizza 145-175k, pours 150k [OFFICIAL]",SevenRooms/email/WhatsApp,CONFIRMED: no entry; bar/general seating no min; premium seats carry min; busy Sun sunset,bestbeachclubsbali Sep-2025 + elsky Jun-2026,2026-07-19
,P2,Uluwatu,Six Senses Uluwatu,Infinity pool day pass,No price published — get the current price (or confirm the product exists).,"IDR 300,000++ incl 230,000 credit [LEGACY 2022, expired]; current [NO DATA]",hotel email/phone,,,
,P2,Uluwatu,Six Senses Uluwatu,Cliff Bar / Rocka,No price published — get the current price (or confirm the product exists).,[NO DATA],Chope/hotel,,,
,P2,Uluwatu,The Edge Bali (Oneeighty),oneeighty° restaurant,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope/WhatsApp,,,
✅ VERIFIED Jul-2026,P2,Uluwatu,Ulu Cliffhouse,Cliff pool club (Padang Padang),No price published — get the current price (or confirm the product exists).,seat min-spend not fixed publicly [NO DATA]; +10% tax +11% svc,ResDiary/WhatsApp,CONFIRMED: free entry + bar walk-in; daybed min ~700k wkday / 1.2M wkend,bestbeachclubsbali + elsky Jul-2026,2026-07-19
,P2,Uluwatu,Umana Bali LXR (ex-Banyan Tree Ungasan),Infinity Pool Pass + Romantic Dinner,No price published — get the current price (or confirm the product exists).,[NO DATA] Klook non-rendering,Klook,,,
,P2,Uluwatu,Umana Bali LXR (ex-Banyan Tree Ungasan),Ju-Ma-Na / Bamboo,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/concierge,,,
