slug,field,status,source_url,source_type,value,reason_reject
bokashi-bali-pererenan,why_its_here,accepted,https://bokashibali.com/pererenan/,website,"A Japanese-influenced restaurant built around a robatayaki charcoal grill on Jalan Pantai Pererenan. The menu names dishes including beef tartare, miso cod and chicken liver parfait. An on-site organic grocery store stocks produce from the LYD Organic farm in Bedugul.",
bokashi-bali-pererenan,best_for,accepted,https://bokashibali.com/pererenan/,website,"A robatayaki grill dinner or a daytime poolside meal in Pererenan.",
hip-hop-soul-restaurant,why_its_here,accepted,https://hiphopsoul.net/,website,"A Southern American soul food restaurant on Jalan Raya Canggu. The menu names dishes including lemon pepper honey fried chicken served with cornbread and honey butter. It also serves handcrafted cocktails and desserts.",
hip-hop-soul-restaurant,best_for,accepted,https://hiphopsoul.net/,website,"Southern and soul-food comfort dishes with cocktails in central Canggu.",
honeycomb-bali,why_its_here,rejected,,,"",Identity mismatch: record says 'cafe on Jalan Raya Canggu'; actual is Honeycomb Hookah & Eatery (Pererenan). Address/hours/menu not verifiable from official sources. Forbidden aggregators only.
honeycomb-bali,best_for,rejected,,,"",Identity mismatch. No reliable source data.
jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,why_its_here,accepted,https://www.sensecanggubeach.com/2021/01/23/jendeli-restaurant/,website,"The in-hotel dining of Sense Canggu Beach Hotel, a short walk from Echo and Batu Bolong beaches. JEN Deli serves all-day breakfast, lunch and dinner on an outdoor terrace, with a choice of buffet or à la carte. La Fortuna Bar pours cocktails, spirits and wines with occasional live music and performances.",
jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,best_for,accepted,https://www.sensecanggubeach.com/2021/01/23/jendeli-restaurant/,website,"Guests wanting all-day dining plus evening drinks a short walk from Echo and Batu Bolong beaches, and groups who want the option of either buffet or à la carte.",
kedai-tepi-kali-and-bar-at-tapa-tepi-kali-canggu,why_its_here,accepted,https://tapatepikali.com/restaurant/,website,"The restaurant of Tapa Tepi Kali Canggu by Pramana, on Jl. Padang Linjong near Echo Beach. Kedai Tepi Kali serves Balinese and local cuisine made with fresh, locally sourced ingredients, open for breakfast, lunch and dinner. It also runs a hands-on Balinese cooking class led by local chefs.",
kedai-tepi-kali-and-bar-at-tapa-tepi-kali-canggu,best_for,accepted,https://tapatepikali.com/restaurant/,website,"Travellers who want Balinese cooking near Echo Beach, and anyone interested in a hands-on, English-language Balinese cooking class with local chefs.",
khao-canggu,why_its_here,accepted,https://www.khaobali.com/,website,"A Thai restaurant on Jl. Pantai Batu Mejan by Echo Beach, Canggu. The kitchen is led by a chef from Roi Et, Thailand, cooking traditional Thai recipes with locally sourced ingredients. Signature dishes include Pad Thai and Tom Yam Goong Ma Praw Oon.",
khao-canggu,best_for,accepted,https://www.khaobali.com/,website,"Diners who want traditional, regionally rooted Thai food near Echo Beach rather than a Western-Thai fusion take.",
khao-canggu,not_for,accepted,https://www.khaobali.com/,website,"Not for those looking for modern Thai fusion — the kitchen deliberately sticks to traditional recipes.",
kong-contemporary-bistro,why_its_here,accepted,https://kongbali.com/,website,"KONG is a contemporary bistro on Jl. Pantai Berawa in Berawa, Canggu. The kitchen serves Asian-inspired small-to-medium plates alongside a cocktail and wine list. A weekly Sunday Roast is a standing fixture.",
kong-contemporary-bistro,best_for,accepted,https://kongbali.com/,website,"Groups sharing small-to-medium plates over dinner and cocktails in Berawa, and anyone after a Sunday Roast.",
milano,why_its_here,rejected,,,"",Two competing official-looking IG handles (@milano.bali, @milanocanggu); street number unverified from official source; no confirmable dishes/prices; second Umalas location referenced. Cannot verify slug identity.
milano,best_for,rejected,,,"",Cannot verify identity or source.
one-eyed-jack,why_its_here,accepted,https://www.oneeyedjackbali.com/,website,"One Eyed Jack is a contemporary izakaya on Jl. Pantai Berawa in Berawa, Canggu. It serves Japanese-style shared plates across bites, raw plates and sushi rolls, using ingredients such as uni, salmon roe and unagi. The bar pours cocktails including the Jack's Lychee Martini.",
one-eyed-jack,best_for,accepted,https://www.oneeyedjackbali.com/,website,"Evening shared-plate dining and cocktails for people who like Japanese izakaya food, raw plates and sushi.",
rasa-kitchen,why_its_here,accepted,https://www.instagram.com/rasa_kitchen_canggu/,instagram,"An Indonesian food spot on Jl. Canggu Padang Linjong in Canggu. Delivery is available via Grab and Gojek.",
rasa-kitchen,best_for,accepted,https://www.instagram.com/rasa_kitchen_canggu/,instagram,"A casual, all-day Indonesian meal in Canggu, or ordering in by Grab or Gojek.",
samm-s-farm,why_its_here,accepted,https://sammsfarm.com/,website,"A farm-to-table kitchen and brewery on Jl. Canggu Padang Linjong, sourcing from its own on-site regenerative farm. The menu runs from farm-fresh breakfast and lunch to dinner and tapas, alongside house brews. The team also roasts its own coffee.",
samm-s-farm,best_for,accepted,https://sammsfarm.com/,website,"Diners who want farm-fresh, sustainably sourced food, plus coffee and house-brew drinkers.",
turntable-canggu-steakhouse,why_its_here,accepted,https://www.instagram.com/turntable.canggu/,instagram,"A steakhouse inside Valstar Hotel on Jl. Raya Babakan in Canggu. It serves steaks including wagyu beef.",
turntable-canggu-steakhouse,best_for,accepted,https://www.instagram.com/turntable.canggu/,instagram,"Steak and wagyu lovers after dinner in Canggu.",
