slug,name,district,official_url,instagram_url,required_media
aperitif-restaurant,Apéritif Restaurant,Ubud,https://www.aperitif.com/,https://www.instagram.com/aperitifbali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
barbacoa,Barbacoa Bali,Seminyak,https://barbacoa-bali.com/,https://www.instagram.com/barbacoabali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
chaskaa-jimbaran,CHASKAA GWK — Jimbaran,Jimbaran,https://www.chaskaabali.com/outlets/,https://www.instagram.com/thechaskaabali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
chaskaa-ubud,CHASKAA Ubud,Ubud,https://www.chaskaabali.com/outlets/,https://www.instagram.com/thechaskaabali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
fisherman-s-club,Fisherman’s Club,Sanur,https://www.hyatt.com/andaz/id-ID/dpsaz-andaz-bali/dining,https://www.instagram.com/fishermansclubsanur/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
kaum-bali,Kaum Bali,Seminyak,https://seminyak.potatohead.co/feast/kaum,https://www.instagram.com/kaumrestaurant/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
lolas-cantina-canggu,Lola’s Cantina Mexicana — Canggu,Canggu,https://www.lolasbali.com/,https://www.instagram.com/lolasbali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
lolas-cantina-uluwatu,Lola’s Cantina Mexicana — Uluwatu,Uluwatu,https://www.lolasbali.com/,https://www.instagram.com/lolasbali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
milk-and-madu-seminyak,Milk & Madu Seminyak,Seminyak,https://milkandmadu.com/location/,https://www.instagram.com/milkandmadu/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
milk-and-madu-uluwatu,Milk & Madu Uluwatu,Uluwatu,https://milkandmadu.com/location/,https://www.instagram.com/milkandmadu/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
nasi-ayam-kedewatan-ibu-mangku,Nasi Ayam Kedewatan Ibu Mangku — Outlet Pusat Ubud,Ubud,,https://www.instagram.com/nasiayamkedewatan/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
rockfish-cliffside,Rockfish Cliffside,Uluwatu,https://rockfish-cliffside.com/,https://www.instagram.com/rockfish_cliffside/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
sarong,Sarong,Seminyak,,https://www.instagram.com/sarongrestaurant/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
the-chowk-ubud,The Chowk Indian Gourmet House — Ubud,Ubud,https://www.thechowk.id/chowk-ubud,https://www.instagram.com/thechowk_id/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
warung-mak-beng,Warung Mak Beng,Sanur,,https://www.instagram.com/warungmakbengsanur/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
watercress-berawa,Watercress Berawa,Canggu,https://watercressbali.com/,https://www.instagram.com/watercressbali/,"1 approved hero photo minimum; preferred 5-10 photos and 1 short video"
