"recommendation","canonical_carrier","existing_task","current_implementation_status","files_components_routes_involved","data_dependency","migration_requirement","regression_risk","recommended_next_action","acceptance_criteria"
"Homepage accepted hero and exactly two tourist CTAs","Home /","T1","PARTIAL","app/page.tsx; components/landing/*; /","No new data; existing guide/route links","NONE","MEDIUM: copy hierarchy and mobile first viewport","UI/copy-only P0 reconciliation after canon blockers are closed; preserve two CTAs and secondary partner entry","Five-second proposition; exactly two tourist CTAs; partner entry secondary; canonical links resolve; no unsupported claim"
"Homepage DecisionDemo using real published content","Home /","T1","PARTIAL","app/page.tsx; existing homepage decision block; components/landing/*","Published routes/guides/places; link preservation map","NONE unless dynamic place data is introduced","MEDIUM: duplicate explanatory modules and stale links","Reuse the existing homepage decision block; do not introduce a parallel component contract","Situation → three useful paths → reason → one canonical action; no volatile unsupported facts"
"How Other Bali works four-step mechanism","Home /","T1","MISSING","app/page.tsx","None","NONE","LOW: copy duplication and page length","UI/copy-only addition only after comparing against DecisionDemo","Four short steps; no duplicated promise; mobile first viewport remains usable"
"Trust strip with non-numeric or dynamic counts","Home /","T1/T7","PARTIAL","app/page.tsx; lib/publication.ts; lib/data.ts","Published/indexable venue and area counts if numeric","NONE for non-numeric; UNKNOWN for dynamic counts pending Data Dictionary","HIGH: unsupported social proof and count drift","Use non-numeric mode until canonical count query and test are approved","No hardcoded counts; unknown stays unknown; no paid organic ranking; verified actions only"
"Today visible selected-state summary","/my-day (AS-IS Today carrier)","T4","PARTIAL","app/my-day/page.tsx; components/my-day/DayBuilderForm.tsx; lib/day-builder.ts","URL searchParams: area/group/vibe/budget/finish","NONE","LOW: state/back-forward regression","UI-only: rename existing 'Your day · …' to approved summary after URL preservation review","Selected area/company/mood/budget/ending visible; refresh/back/forward preserve supported state"
"Today exactly three result roles: best, backup, contrast","/my-day","T4","MISSING","app/my-day/page.tsx; components/PlaceCard.tsx; lib/day-builder.ts; lib/collections.ts","Published decision-ready venues and explicit role-selection rules","NONE expected; algorithm contract required","HIGH: organic ranking and misleading role labels","Modify existing Today selection only after ranking/role rules are approved; no new engine/table","Maximum three primary results; explicit roles; why/not-ideal/check/action; deterministic tests"
"No hidden cross-district filling","/my-day","T4","CONFLICTING_AS_IS","app/my-day/page.tsx; getCollectionSampleInArea()","Area-scoped published venue coverage","NONE","HIGH: current code widens island-wide and renders results","P0 logic/UI correction after canonical ranking review; replace implicit widening with explicit partial/nearby alternative","No silent out-of-area primary card; empty/partial state truthful; nearby alternative explicitly labelled"
"Filtered map only after narrowing","/my-day and /places","T4 / P1_DEFERRED","MISSING_AND_DEFERRED","No canonical map component found; DistrictMapLink is external handoff only","Coordinates/verified Maps entity; selected shortlist","BLOCKED: canonical fields exist partially but no approved map read model","HIGH: duplicate map system and Google Maps clone risk","Do not implement in Gate 0; later reuse shortlist output and Google Maps handoffs","Only filtered shortlist shown; no general pin map; no routing/ETA; map absent when no result"
"Place-page canonical trust order","/places/[slug]","T3/T4","PARTIAL","app/places/[slug]/page.tsx; lib/quick-decision.ts; components/VenueActionBar.tsx; components/SimilarPlaces.tsx","Venue editorial fields; action capabilities; verified dates; media rights","NONE for ordering/copy","MEDIUM: action/menu/SEO regression","UI ordering pass after issue/freshness carrier decisions; preserve metadata and actions","Hero/media → decision → best/not ideal → why/check → actions → offer → freshness → issue → plan/similar"
"Honest media state and provenance","/places/[slug], PlaceCard","T3/T8","PARTIAL","components/PlaceCard.tsx; app/places/[slug]/page.tsx; components/VenueImage.tsx; lib/photo-policy.ts","photo_url; consent_log; venue_photo_submissions; source/right status","MIGRATION_LIKELY: no unified media_status/media_provenance/read model","HIGH: venue photography rights and false provenance","Keep current 'Media pending' UI; design mapping to canonical MediaAsset only after Data Dictionary/Migration Map exists","Pending state honest; provenance visible for displayed media; rights status stored; no decorative proof placeholder"
