canonical_intent_id,canonical_name,publication_risk,required_data_fields,observed_evidence,data_readiness,blocking_field,remediation,auto_decision_reason,created_at,generator,source_version
OB-CAN-0001,Find where to go on arrival day when jet-lagged,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0002,Choose first-night dinner near landing area,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0003,Handle Visa-on-Arrival + cash on landing,LEGAL_REGULATORY,authoritative_source;reviewed_by;reviewed_at,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,HIGH_RISK_NOT_READY,authoritative_source;reviewed_by;reviewed_at,owner authority + authoritative answer evidence required before any publication,risk_class=LEGAL_REGULATORY: 04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy sets auto_build_allowed=false and publication_status=RESEARCH_ONLY for SAFETY/MEDICAL/LEGAL_REGULATORY,2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0004,Sleep near airport before/after red-eye flight,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0005,Kill 3–6 hours near airport before flight,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0006,Have a proper last-day meal before evening flight,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0007,Find breakfast open before 7 AM,OPERATIONAL,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0008,"Grab a quick, cheap lunch mid-day between activities",OPERATIONAL,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0009,Have a lunch with a view (rice field / cliff / ocean),LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0010,Order food to villa via Grab/Gojek when tired,OPERATIONAL,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
