slug,field,old_value,new_value,source_url
bokashi-bali-pererenan,why_its_here,"Restaurant on Jalan Pantai Pererenan No.159 in Canggu.","A Japanese-influenced restaurant built around a robatayaki charcoal grill on Jalan Pantai Pererenan. The menu names dishes including beef tartare, miso cod and chicken liver parfait. An on-site organic grocery store stocks produce from the LYD Organic farm in Bedugul.",https://bokashibali.com/pererenan/
bokashi-bali-pererenan,best_for,"Travellers who want to check availability and reserve a table through Chope.","A robatayaki grill dinner or a daytime poolside meal in Pererenan.",https://bokashibali.com/pererenan/
hip-hop-soul-restaurant,why_its_here,"Restaurant on Jalan Raya Canggu.","A Southern American soul food restaurant on Jalan Raya Canggu. The menu names dishes including lemon pepper honey fried chicken served with cornbread and honey butter. It also serves handcrafted cocktails and desserts.",https://hiphopsoul.net/
hip-hop-soul-restaurant,best_for,"Travellers who want to check availability and reserve a table through Chope.","Southern and soul-food comfort dishes with cocktails in central Canggu.",https://hiphopsoul.net/
jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,why_its_here,"Restaurant on Jl. Munduk Kedungu No.55s in Canggu, open daily 7:00am-11:00pm.","The in-hotel dining of Sense Canggu Beach Hotel, a short walk from Echo and Batu Bolong beaches. JEN Deli serves all-day breakfast, lunch and dinner on an outdoor terrace, with a choice of buffet or à la carte. La Fortuna Bar pours cocktails, spirits and wines with occasional live music and performances.",https://www.sensecanggubeach.com/2021/01/23/jendeli-restaurant/
jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,best_for,"Travellers looking for a current place to eat in Canggu; Pererenan.","Guests wanting all-day dining plus evening drinks a short walk from Echo and Batu Bolong beaches, and groups who want the option of either buffet or à la carte.",https://www.sensecanggubeach.com/2021/01/23/jendeli-restaurant/
kedai-tepi-kali-and-bar-at-tapa-tepi-kali-canggu,why_its_here,"Restaurant on Jl. Canggu Padang Linjong, open daily 7:00am-11:00pm.","The restaurant of Tapa Tepi Kali Canggu by Pramana, on Jl. Padang Linjong near Echo Beach. Kedai Tepi Kali serves Balinese and local cuisine made with fresh, locally sourced ingredients, open for breakfast, lunch and dinner. It also runs a hands-on Balinese cooking class led by local chefs.",https://tapatepikali.com/restaurant/
kedai-tepi-kali-and-bar-at-tapa-tepi-kali-canggu,best_for,"Travellers looking for a current place to eat in Canggu.","Travellers who want Balinese cooking near Echo Beach, and anyone interested in a hands-on, English-language Balinese cooking class with local chefs.",https://tapatepikali.com/restaurant/
khao-canggu,why_its_here,"Restaurant on Jl. Pantai Batu Mejan in Canggu, open daily 10:00am-11:00pm.","A Thai restaurant on Jl. Pantai Batu Mejan by Echo Beach, Canggu. The kitchen is led by a chef from Roi Et, Thailand, cooking traditional Thai recipes with locally sourced ingredients. Signature dishes include Pad Thai and Tom Yam Goong Ma Praw Oon.",https://www.khaobali.com/
khao-canggu,best_for,"Travellers looking for a current place to eat in Canggu.","Diners who want traditional, regionally rooted Thai food near Echo Beach rather than a Western-Thai fusion take.",https://www.khaobali.com/
khao-canggu,not_for,"","Not for those looking for modern Thai fusion — the kitchen deliberately sticks to traditional recipes.",https://www.khaobali.com/
kong-contemporary-bistro,why_its_here,"Restaurant on Jl. Pantai Berawa No.14b in Canggu, open daily 11:00am-12:00am.","KONG is a contemporary bistro on Jl. Pantai Berawa in Berawa, Canggu. The kitchen serves Asian-inspired small-to-medium plates alongside a cocktail and wine list. A weekly Sunday Roast is a standing fixture.",https://kongbali.com/
kong-contemporary-bistro,best_for,"Travellers looking for a current place to eat in Canggu; Berawa.","Groups sharing small-to-medium plates over dinner and cocktails in Berawa, and anyone after a Sunday Roast.",https://kongbali.com/
one-eyed-jack,why_its_here,"Restaurant on Jl. Pantai Berawa No.c89 in Canggu, open daily 3:00-11:00pm.","One Eyed Jack is a contemporary izakaya on Jl. Pantai Berawa in Berawa, Canggu. It serves Japanese-style shared plates across bites, raw plates and sushi rolls, using ingredients such as uni, salmon roe and unagi. The bar pours cocktails including the Jack's Lychee Martini.",https://www.oneeyedjackbali.com/
one-eyed-jack,best_for,"Travellers looking for a current place to eat in Canggu; Berawa.","Evening shared-plate dining and cocktails for people who like Japanese izakaya food, raw plates and sushi.",https://www.oneeyedjackbali.com/
rasa-kitchen,why_its_here,"Restaurant on Jl. Canggu Padang Linjong No.80A, open daily 10:00am-11:00pm.","An Indonesian food spot on Jl. Canggu Padang Linjong in Canggu. Delivery is available via Grab and Gojek.",https://www.instagram.com/rasa_kitchen_canggu/
rasa-kitchen,best_for,"Travellers looking for a current place to eat in Canggu.","A casual, all-day Indonesian meal in Canggu, or ordering in by Grab or Gojek.",https://www.instagram.com/rasa_kitchen_canggu/
samm-s-farm,why_its_here,"Restaurant on Jl. Canggu Padang Linjong No.58, open daily 8:30am-10:00pm.","A farm-to-table kitchen and brewery on Jl. Canggu Padang Linjong, sourcing from its own on-site regenerative farm. The menu runs from farm-fresh breakfast and lunch to dinner and tapas, alongside house brews. The team also roasts its own coffee.",https://sammsfarm.com/
samm-s-farm,best_for,"Travellers looking for a current place to eat in Canggu.","Diners who want farm-fresh, sustainably sourced food, plus coffee and house-brew drinkers.",https://sammsfarm.com/
turntable-canggu-steakhouse,why_its_here,"Restaurant on Jl. Raya Babakan Canggu No.51, open daily 7:00am-11:00pm.","A steakhouse inside Valstar Hotel on Jl. Raya Babakan in Canggu. It serves steaks including wagyu beef.",https://www.instagram.com/turntable.canggu/
turntable-canggu-steakhouse,best_for,"Travellers looking for a current place to eat in Canggu.","Steak and wagyu lovers after dinner in Canggu.",https://www.instagram.com/turntable.canggu/
