district,resort,venue_or_product,star,product_type,product_type_norm,price,monetize,booking_channel,audience,whats_included,hours,honest_note,source,accessed
Canggu,COMO Uma Canggu (COMO Beach Club),Day Pass - Beach Club,5,day_pass,day_pass,"IDR 500,000 adult / 250,000 child ++ [OFFICIAL]",COVERAGE,hotel/WhatsApp/concierge,AU-couples/families,"pool, towel, changing, 500,000 F&B credit, 1hr Play by COMO",pool 11-19; club 11-23,net-cost near-zero if you spend the credit,nowbali.co.id como-beach-club,2026-07-19
Canggu,COMO Uma Canggu,Day Pass - full resort (Uma),5,day_pass,day_pass,"IDR 800,000 adult / 250,000 child ++ [OFFICIAL]",COVERAGE,hotel/WhatsApp,wellness/AU-couples,"beach club pool, towel, 500k credit, wellness class, gym, 15% spa",09:00-21:00,adds wellness+gym over beach-club pass,nowbali.co.id como-beach-club,2026-07-19
Canggu,COMO Uma Canggu (COMO Beach Club),COMO Beach Club (a la carte),5,beach_club,beach_club,"daybed min-spend ~IDR 500,000 [BLOG]; official no seat price",COVERAGE,Chope/WhatsApp,AU-couples/surf/families,"beachfront pool, DJ, sunbeds, wellness menu",07:00-22:00,only luxury hotel beach club in Canggu,comohotels.com como-beach-club-canggu,2026-07-19
Canggu,COMO Uma Canggu,Sunday Brunch (Pawsome/Lazy Grazing),5,brunch,brunch,"IDR 680,000 adult / 340,000 child [OFFICIAL]; +880,000 free-flow",SEATED,Chope/email/WhatsApp,AU-couples/families/dog-owners,"24-dish sharing menu, kids Play, dog treats (Pawsome)",Sun 11:00-15:00,price conflict vs 2022 launch 520k; use 680k,comohotels.com pawsome-sunday-brunch,2026-07-19
Canggu,FINNS,FINNS Beach Club (general/daybeds),na,beach_club,beach_club,"no entry, NO official min-spend [OFFICIAL]; premium loungers ~2.5-3.2M before 1pm [BLOG]",COVERAGE,bookings.finnsbeachclub.com ONLY,party/young/AU,"multiple pools, swim-up bars, 11 bars, waterslides; towel 50k",11:00-24:00,#1 search-volume club; 'min-spend' = daybed package,finnsbeachclub.com/faq,2026-07-19
Canggu,FINNS,FINNS VIP Beach Club,na,beach_club,beach_club,"VIP Party Bed from 1,250,000 (4pax) to Cabana 10,000,000 (25pax) [OFFICIAL]",COVERAGE,bookings.finnsbeachclub.com,party/bachelor/AU,"welcome shooters+mimosas, sparkling, valet, bottle service, towels",till midnight,arrive before 2pm = save up to 50%,finnsbeachclub.com/venue/vip,2026-07-19
Canggu,La Brisa,La Brisa Bali,na,beach_club,beach_club,"no entry; premium table min-spend IDR 700,000++ to 2,600,000++ [OFFICIAL]",COVERAGE,WhatsApp/walk-in daytime,boho/AU-couples/sunset,"two pools, beanbags, boho decor, DJ, sunset; towel 50k",10:00-23:00,walk-in OK early; pre-book essential for sunset,labrisa-bali.com/faq,2026-07-19
Canggu,Atlas Beach Fest,Atlas Beach Club,na,beach_club,beach_club,"entry IDR 100,000 [BLOG]; seat min-spend 500k-1.5M standard, VIP 2-9M, VVIP 4-15M [OFFICIAL reseller]",COVERAGE,own site + Klook + GetYourGuide,party/nomads/groups,"min-spend redeemable; world's-biggest beach club, superclub, kids zone",10:00-24:00,entry fee AND separate seat min-spend,balibeachclubpass.com atlas,2026-07-19
Canggu,The Lawn,The Lawn Canggu,na,beach_club,beach_club,no entry; min-spend chairs/beanbags 350k/pax; sofa 1M; daybeds 2.5M/table [BLOG],COVERAGE,projectblack.co/WhatsApp,surf/AU-couples/sunset,"oceanfront lawn, pool, sunset DJ; towel 50k",10:00-22:00,iconic Batu Bolong sunset; deposits non-refundable,elsky-bali.com the-lawn-canggu,2026-07-19
Canggu,Desa Kitsune,Desa Kitsune,na,beach_club,beach_club,a la carte high-end; daybeds NO published min-spend [NO DATA],SEATED,WhatsApp/website,fashion/nomads/AU-couples,"French/Med/Japanese; daybeds, garden-pool, DJ, retail",07:00-23:30,Maison Kitsune brand; reservations essential,desakitsune.com,2026-07-19
Canggu,Vue Beach Club,Vue Beach Club Day Pass,na,day_pass,day_pass,"US$10.85 (~IDR 175,000) via Klook [OFFICIAL]; daybed upgrade extra",COVERAGE,Klook,budget/nomads,"pool access, complimentary drinks & snacks",[NO DATA],cheapest true pool day-pass in Berawa,klook.com/activity/22304,2026-07-19
Canggu,Swarga Suites Bali Berawa,Swarga Day Pass,4,day_pass,day_pass,"IDR 350,000 nett adult / 250,000 child [OFFICIAL]",COVERAGE,WhatsApp/phone/email,AU-couples/families/nomads,"main pool, sunbed, towel, 100k F&B credit, 10% off",[NO DATA],valid through 30 Sep 2026,swargasuitesbali.com/offers,2026-07-19
Canggu,Hotel Tugu Bali (Ji),JI Restaurant (signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,hotel/jirestaurantbali.com,luxury/AU-couples/romance,"Japanese/Asian grill, sushi & sake bar; antique-heritage setting",[NO DATA],"also IWA, Bale Sutra, Waroeng Tugu",tuguhotels.com bali dining,2026-07-19
Canggu,The Slow,The Slow Kitchen & Bar,4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,website/WhatsApp/walk-in,fashion/nomads/AU-couples,all-day dining & bar; design-hotel brunch/dinner scene,[NO DATA],no formal pool day-pass published,thebaliguideline.com the-slow,2026-07-19
Canggu,Penny Lane,Penny Lane,na,resort_restaurant,resort_restaurant,"~IDR 300,000/pax [BLOG]",SEATED,Chope,nomads/AU/expats,"British pub-style, burgers, cocktails, live music",[NO DATA],book via Chope,thebaliguideline.com,2026-07-19
Canggu,MASONRY,MASONRY Grill & Bar,na,resort_restaurant,resort_restaurant,"large plates from IDR 140,000++ [BLOG]",SEATED,WhatsApp,AU-couples/groups,"wood-fired grill, European",[NO DATA],buzzing nightly; possible dedupe with 'Mason',thehoneycombers canggu,2026-07-19
Canggu,Shelter,Shelter Pererenan,na,resort_restaurant,resort_restaurant,"mains from IDR 110,000++ [BLOG]",SEATED,SevenRooms,AU-couples/nomads,Mediterranean/Middle-Eastern,[NO DATA],book ahead,thehoneycombers canggu,2026-07-19
Canggu,Numero Quattro,Numero Quattro,na,resort_restaurant,resort_restaurant,"mains from IDR 135,000++ [BLOG]",SEATED,E-Restaurants,AU-couples/romance,"contemporary Italian, beachfront",[NO DATA],advance reservation required,thehoneycombers canggu,2026-07-19
Canggu,Woods,Woods Pererenan,na,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope/woodsbali.com,AU-couples/romance,rustic garden fine-dining,[NO DATA],book ahead,woodsbali.com/contact,2026-07-19
