source_id,source_type,source_name,source_url,publisher,accessed_at,applies_to,verification_state,notes
SRC-ULU-001,government,Uluwatu Temple,https://www.indonesia.travel/us/en/destination/bali-nusa-tenggara/bali/pura-luhur-uluwatu,Indonesia Ministry of Tourism,2026-07-23,temple_identity,verified,"Identity and cultural framing; operations volatile"
SRC-ULU-002,government,Uluwatu Temple Badung,https://sita.badungkab.go.id/en/destinations/uluwatu-temple-spectacular-scenery-and-balinese-cultural-heritage,Badung Tourism,2026-07-23,temple_identity,verified,"Cliff and Kecak identity"
SRC-ULU-003,government_legal,Pecatu boundary regulation,https://jdih.badungkab.go.id/public/produk-hukum/peraturan-perundang-undangan/peraturan-bupati/peraturan-bupati-badung-nomor-61-tahun-2016-tentang-penetapan-dan-penegasan-batas-wilayah-desa-pecatu-kecamatan-kuta-selatan-kabupaten-badung,Badung JDIH,2026-07-23,administrative_geography,verified,"Pecatu locality and boundaries"
SRC-ULU-004,government,Pecatu official page,https://kutaselatan.badungkab.go.id/desa-pecatu-688,Kuta Selatan,2026-07-23,nyang_nyang_identity,verified,"Access detail remains field-sensitive"
SRC-ULU-005,government,Padang Padang Beach,https://sita.badungkab.go.id/en/destinations/exploring-padang-padang-beach-a-beach-paradise-in-uluwatu,Badung Tourism,2026-07-23,padang_padang_identity,verified,"Do not reuse promotional safety language"
SRC-ULU-006,government,Nyang Nyang Beach,https://sita.badungkab.go.id/en/destinations/nyang-nyang-beach-white-sand-stunning-cliffs-and-a-peaceful-atmosphere,Badung Tourism,2026-07-23,nyang_nyang_identity,verified,"Identity only"
SRC-ULU-008,official_operator,GWK Cultural Park,https://www.gwkbali.com/?lang=en,GWK,2026-07-23,gwk_identity,verified,"Hours and tickets require same-day refresh"
SRC-ULU-009,government,Kuta Selatan development page,https://kutaselatan.badungkab.go.id/potensi-pembangunan-658,Kuta Selatan,2026-07-23,pecatu_ungasan_identity,verified,"Use identity only; other wording is dated"
SRC-ULU-010,official_operator,Alila Villas Uluwatu,https://www.hyatt.com/alila-hotels-and-resorts/en-US/dpsav-alila-villas-uluwatu,Hyatt,2026-07-23,hotel_identity,verified,"Non-ranked identity only"
SRC-ULU-011,official_operator,BVLGARI Resort Bali,https://www.bulgarihotels.com/en_US/bali/location,Bulgari Hotels,2026-07-23,hotel_identity,verified,"Non-ranked identity only"
SRC-ULU-012,official_operator,Anantara Uluwatu factsheet,https://www.anantara.com/uploads/minor/anantara/documents/anantara-uluwatu-bali-resort/hotel-info/2026/anantara_uluwatu_bali_resort_factsheet.pdf,Anantara,2026-07-23,hotel_identity,verified,"2026 factsheet"
SRC-ULU-014,government_legal,Pura Luhur Uluwatu cultural record,https://disbud.badungkab.go.id/storage/disbud/file/pura-luwur-uluwatu-20260108123709-JRarR.pdf,Badung Culture Office,2026-07-23,temple_identity,verified,"Desa Adat Pecatu association"
