item_id,venue_id,venue_name,item_name,description,price,price_raw,currency,source
a1ce1ae277119b79-i0,a1ce1ae277119b79,Braud Cafe Seminyak,Truffle Scrambled Eggs,A delightful way to start the day.,,IDR 90k,IDR,https://www.baliholidaysecrets.com/seminyak-cafe/
70bc6f4d9fdb7589-i0,70bc6f4d9fdb7589,Unnamed Restaurant,TRUFFLE HAND CUT FRIES,"Rustic cut fries topped with truffle oil, parmesan and a side of house aioli (V/GF)",,"45,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i1,70bc6f4d9fdb7589,Unnamed Restaurant,ARCADIA CAESAR SALAD,"Romaine lettuce, avocado, capers, croutons, parmesan cheese and smoked quail egg",,"125,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i2,70bc6f4d9fdb7589,Unnamed Restaurant,TROPICAL PRAWN SALAD,"Caramelized prawns, ripe mango, cucumber, cherry tomato, coriander, mint, kafir lime, red chili, coconut, shallot, lemon grass, chili lime dressing (GF/N)",,"135,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i3,70bc6f4d9fdb7589,Unnamed Restaurant,BURRATA & CAPONATA,"Locally made burrata, caponata vegetables, torched artichokes, lemon jam, red onion, artichoke vinaigrette, paprika fennel tuile",,"145,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i4,70bc6f4d9fdb7589,Unnamed Restaurant,SALMON & MELON GAZPACHO,"Honey melon & apple gazpacho, beetroot-cured salmon tartare, tomato gel, fennel-parsley oil, coriander seed tuile",,"120,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i5,70bc6f4d9fdb7589,Unnamed Restaurant,MUSHROOM RISOTTO,"Trio of mushrooms, parmesan, goat cheese, asparagus, asparagus pureé, truffle oil, rucola (V/GF)",,"155,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i6,70bc6f4d9fdb7589,Unnamed Restaurant,FRIED RICE,"Indonesian fried rice, Asian vegetables, egg, served with chicken sate, sambal tomat, krupuk and pickled vegetables (GF)",,"85,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i7,70bc6f4d9fdb7589,Unnamed Restaurant,TRIO COATED FISH AND CHIPS,"Coating barramundi fish with three batters: butter; charcoal batter; herb bread crumbed, served with mussy peas, tartare sauce, mixed salad and hand cut fries",,"145,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i8,70bc6f4d9fdb7589,Unnamed Restaurant,CHICKEN KATSU SANDWICH,"Toasted sandwich with marinated and crumbed chicken thigh, slaw, coriander, red onion, miso mayonnaise, tonkatsu sauce, served with hand cut fries",,"135,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i9,70bc6f4d9fdb7589,Unnamed Restaurant,BUTTER CURRY CHICKEN SKEWERS,"Tandoori spiced chicken skewer served with Indian butter curry, picked red onion, mint yoghurt sauce, coriander and choice of: paratha bread or steam rice (N)",,"155,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i10,70bc6f4d9fdb7589,Unnamed Restaurant,GRILLED MARINATED CHICKEN,"Marinated grilled chicken breast, with lemon-thyme filling, grilled broccoli, confit leek, crisp skin, duxelles mushroom cream sauce (GF)",,"155,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i11,70bc6f4d9fdb7589,Unnamed Restaurant,WAGYU BURGER,"Butter glaze bun, minced wagyu brisket beef patty, cheddar cheese, caramelized onion, lettuce, tomato, cucumber pickled, served with a trio of dipping sauces, hand cut fries",,"160,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i12,70bc6f4d9fdb7589,Unnamed Restaurant,DARK CHOCOLATE LAVA CAKE,"With hazelnut macaron, hazelnut gelato and almond cocoa crumble (V/N)",,"75,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i13,70bc6f4d9fdb7589,Unnamed Restaurant,TAMARILLO AND LEMON TART,"Tamarillo and lemon tartlet, whipped ricotta, poached tamarillo and vanilla gelato (V)",,"70,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i14,70bc6f4d9fdb7589,Unnamed Restaurant,CRÈME BRULEE,"Classic vanilla brulee, candid walnut with almond coconut biscotti (V/N)",,"70,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
70bc6f4d9fdb7589-i15,70bc6f4d9fdb7589,Unnamed Restaurant,COLD PRESSED JUICES,"250ml varieties: Berries And Melon: Watermelon, strawberry, blueberry, mint, lemon; Green Grass: Kale, lemongrass, celery, cucumber, lime, ginger, pear; ABC: Apple, beetroot, cucumber, basil, carrot, lemon; Tropical Smash: Mango, orange, passionfruit, banana, coconut, kafir lime leaf; GOC: Ginger, orange, carrot",,"40,-",IDR,https://bali.com/wp-content/uploads/2024/03/ARCADIA-LUNCH-DINNER-HALAL-MENU-SECTION.pdf
