gap_id,gap_class,source_path_or_reference,observed_conflict_or_gap,impact,recommended_action,verification_status,owner_decision_required
DRIFT_001,SOURCE_TEST,app/ubud/page.tsx; scripts/wave2-product-boundary.test.mjs,"Test expects <StartYourShortlist> on five pilot district pages; current Ubud source does not contain the component.",Pilot boundary test failure and possible stale acceptance contract,Update test or restore component only in separate implementation task,CONFIRMED_STATIC_DRIFT,Yes
DRIFT_002,SOURCE_TEST,app/for-venues/page.tsx; scripts/wave2-product-boundary.test.mjs,"Test expects pilot copy 'Pilot free through 21 September 2026'; current page source uses different proof-chip copy.",Partner surface test failure and copy contract ambiguity,Choose source-of-truth copy then update test/source separately,CONFIRMED_STATIC_DRIFT,Yes
DRIFT_003,SOURCE_TEST,third failing assertion in scripts/wave2-product-boundary.test.mjs,Product boundary suite reports 3 failures total; full failure output must be retained with the test run before any fix,Quality gate cannot be treated as green,Re-run targeted test in implementation task and identify exact third assertion,CONFIRMED_TEST_RESULT,Yes
DRIFT_004,SOURCE_CONFIG,lib/trip-missions.ts;lib/scenarios.ts,Trip missions reference slow-living-bali family-bali bali-night-out bali-rainy-day not present in inspected SCENARIOS config,Dead/future scenario handoffs and misleading coverage,Mark deprecated/planned or add only after owner-approved evidence; do not create silently,CONFIRMED_STATIC_DRIFT,Yes
DRIFT_005,REGISTRY_ROUTE,docs/seo/os/page-registry.json;app routes,Page registry has many intent_id null and shadow_unreviewed entries while routes/config contain active surfaces,No canonical governance ownership for a material surface set,Normalize registry and map every accepted route before promotion,CONFIRMED_STATIC_GAP,Yes
DRIFT_006,REGISTRY_RUNTIME,docs/seo/os/intent-registry.json;lib/intents.ts,Shadow registry intent IDs and runtime jobs are related but not one-to-one and have different naming/levels,SEO acquisition mappings can be mistaken for canonical jobs,Create adapters and explicit entity class/layer fields,CONFIRMED_STATIC_DRIFT,Yes
DRIFT_007,MATCHER,lib/moments.ts;lib/catalogue-moments.ts;lib/collections.ts,Plan uses jobs/category fallback; catalogue uses substring haystack; collections use field-specific heuristics,Same label can yield different venue sets,Document matcher contracts and reconcile aliases without flattening layers,CONFIRMED_STATIC_DRIFT,Yes
DRIFT_008,ANALYTICS,lib/actions/event-store.ts;0058_shortlist_generated_event.sql,Application supports v2-to-legacy fallback but live v2 availability and counts are not verified,Possible silent downgrade or missing delivery,Run aggregate live analytics verification when access exists,BLOCKED_ACCESS,Yes
DRIFT_009,LIVE_DB,scripts/export-venues-readonly.mjs,Existing exporter includes raw email phone WhatsApp and other personal/contact fields,Violates Phase 3 aggregate-only policy if run unchanged,Use a new least-privilege aggregate query/export; do not run raw exporter,BLOCKED_ACCESS,Yes
DRIFT_010,MIGRATION_RUNTIME,0056_saved_place_trip_extension.sql;0057_shared_trip_id_portability.sql,Static migration tests pass but production migration order/application is unknown,Cannot claim production RPC readiness,Read-only migration metadata check with approved access,BLOCKED_ACCESS,Yes
DRIFT_011,REGISTRY_COUNT,docs/seo/os/page-registry.json,Registry embeds sitemap count snapshot 674 while current route inventory needs reconciliation,Stale count can conceal unowned surfaces,Regenerate/compare only in a separate read-only registry task,PARTIAL,Yes
DRIFT_012,LIVE_SCHEMA,owner-supplied schema aggregate,`shared_trips` table was not present in the supplied table/column export while create_shared_trip and shared_list_trip functions exist,Trip share storage/function relationship cannot be certified,Run aggregate metadata query for shared trip backing table or document intentional encoding in shared_lists,PARTIAL_LIVE,Yes
DRIFT_013,LIVE_COVERAGE,owner-supplied venues aggregate,1277 rows have slug/district/category/publication_status; jobs=248, practical_tags=28, best_for=1026, last_verified_at=859,Intent support and verification freshness are materially partial,Use coverage thresholds in canonical validation and flag sparse capabilities,CONFIRMED_LIVE_AGGREGATE,Yes
DRIFT_014,LIVE_ANALYTICS,owner-supplied event aggregate,15 event types have 30-day activity; only 5 have 7-day activity; 10 are zero in 7d,Could be expected low traffic or delivery gap; cannot infer from counts alone,Supply route/surface breakdown and compare expected event contract,CONFIRMED_LIVE_AGGREGATE,Yes
DRIFT_015,LIVE_ATTRIBUTION,owner-supplied event aggregate,source is null for all supplied event-type rows,Acquisition/source performance cannot be certified,Provide aggregate source-by-event counts or explicitly accept null-source telemetry,CONFIRMED_LIVE_GAP,Yes
