source_record_id,supporting_job_name,register_type,original_domain,risk_class,auto_decision_reason,created_at,generator,source_version
OB-INT-0039,Spend a day at Waterbom Bali with kids,ENTITY_QUERY,Families with children,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0072,Book Locavore NXT / Apéritif tasting-menu experience,ENTITY_QUERY,Luxury,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0083,Get around Bali without renting a scooter,SUPPORTING_JOB,Transport and no-scooter,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0084,Understand where Grab/Gojek can and can't pick up (Ubud),SUPPORTING_JOB,Transport and no-scooter,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0085,Hire a private driver for a full-day tour,SUPPORTING_JOB,Transport and no-scooter,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0106,Avoid bank card being blocked during travel,SUPPORTING_JOB,Finance & Logistics,OPERATIONAL,"override: pre-trip bank notification is trip logistics, not a safety guide (rule table had OVERRIDE)",2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0112,Manage luggage across multiple locations,SUPPORTING_JOB,Logistics,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0113,Find local laundry services (not hotel),SUPPORTING_JOB,Logistics & Budget,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0120,Buy sunscreen locally (expensive) vs bring from home,SUPPORTING_JOB,Shopping & Budget,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0123,Use Bluebird taxi (safest option),ENTITY_QUERY,Transport,OPERATIONAL,matched TYPE.ENTITY_QUERY; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0125,Hire private driver for full-day tours,SUPPORTING_JOB,Transport,OPERATIONAL,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0133,Photograph Trunyan Village,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0134,Visit abandoned Taman Festival theme park,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0135,Drive to Amed for fishing boat photography,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0136,Photograph Ayung River gorges,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0137,Visit Sideman for rice terraces (harvest season),ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0138,Photograph Lempuyang Temple (Gate of Heaven) drive,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0139,Photograph Melasti Beach,ENTITY_QUERY,Photography & Experiences,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0141,Visit Botanical Gardens near Bedugal,ENTITY_QUERY,Nature & Photography,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0142,Photograph Dutch colonial buildings in Denpasar,ENTITY_QUERY,Photography & History,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0143,Shop at Pasar Badung night market (local prices),ENTITY_QUERY,Shopping & Culture,OPERATIONAL,matched TYPE.ENTITY_QUERY; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0145,Shop at Artedesana in Sanur for local crafts,ENTITY_QUERY,Shopping,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0147,Visit Kuta Art Market,ENTITY_QUERY,Shopping,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0148,Shop at Monkey Forest Road for antiques,ENTITY_QUERY,Shopping & Culture,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0149,Shop at Celuk Village for gold/silver jewelry,ENTITY_QUERY,Shopping & Culture,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0164,"Choose between Balitrees, Bali Garden, Blooming Lotus",ENTITY_QUERY,Wellness & Retreats,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0176,Find quality deodorant in Bali,SUPPORTING_JOB,Shopping & Personal Care,LOW,matched TYPE.SUPPORTING_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0178,Buy authentic local snacks and chips,SUPPORTING_JOB,Shopping & Food,LOW,matched TYPE.SUPPORTING_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0187,Find menthol powder (Herocyn) for skin,ENTITY_QUERY,Shopping & Personal Care,LOW,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
