entity_id,canonical_name,entity_type,admin_parent,editorial_area,official_url,google_maps_url,google_place_id,identity_status,evidence_label,source_ids,confidence,notes
ENT-ULU-AREA-001,Uluwatu,editorial_area,"Pecatu and adjacent Bukit micro-areas",Uluwatu,,,null,EDITORIAL_TAXONOMY,INTERPRETED,"SRC-ULU-GOV-006;SRC-ULU-GOV-008;SRC-ULU-REPO-002",medium,"Not a formal administrative district; public route maps to internal uluwatu-bukit."
ENT-ULU-ADMIN-001,Desa Pecatu,administrative_village,"Kuta Selatan; Badung",Uluwatu,,,null,CONFIRMED,EXTRACTED,SRC-ULU-GOV-006,high,"Administrative anchor for the west-cliff core."
ENT-ULU-ADMIN-002,Desa Ungasan,administrative_village,"Kuta Selatan; Badung",Uluwatu,,,null,CONFIRMED,EXTRACTED,"SRC-ULU-GOV-008;SRC-ULU-GOV-009",high,"Melasti is in Ungasan rather than Pecatu."
ENT-ULU-POI-001,Pura Luhur Uluwatu,temple,"Pecatu; Kuta Selatan; Badung",Uluwatu,https://lovebali.baliprov.go.id/destination/detail/1595945550362/uluwatu-temple,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,"SRC-ULU-GOV-001;SRC-ULU-GOV-002;SRC-ULU-GOV-003",high,"Identity is stable; current operations and Place ID are unresolved."
ENT-ULU-BEACH-001,Padang Padang / Labuan Sait,beach,"Pecatu; Kuta Selatan; Badung",Uluwatu,,,null,HOLD_IDENTITY_RECONCILE,UNVERIFIED,SRC-ULU-GOV-004,medium,"Alias boundaries entrance and pin require Maps and field checks."
ENT-ULU-BEACH-002,Suluban Beach / Uluwatu surf area,beach_surf_area,"Pecatu; Kuta Selatan; Badung",Uluwatu,,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,SRC-ULU-GOV-004,medium,"Exact public entrance and boundaries unresolved."
ENT-ULU-BEACH-003,Bingin Beach,beach_surf_area,"Pecatu; Kuta Selatan; Badung",Uluwatu,,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,SRC-ULU-GOV-004,medium,"Access and current cliff businesses require field verification."
ENT-ULU-BEACH-004,Nyang Nyang Beach,beach,"Pecatu; Kuta Selatan; Badung",Uluwatu,,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,SRC-ULU-GOV-005,high,"Current access and safety remain HOLD."
ENT-ULU-BEACH-005,Melasti Beach,beach,"Ungasan; Kuta Selatan; Badung",Uluwatu,https://kutaselatan.badungkab.go.id/desa-ungasan-689,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,"SRC-ULU-GOV-008;SRC-ULU-GOV-009",high,"Do not describe as Pecatu proper."
ENT-ULU-EVENT-001,Uluwatu Kecak performance,cultural_performance,"Pura Luhur Uluwatu complex",Uluwatu,https://www.uluwatukecakdance.com/jadwal-show/,,null,NEEDS_MANUAL_MAPS_CONFIRMATION,EXTRACTED,"SRC-ULU-GOV-001;SRC-ULU-GOV-002;SRC-ULU-OPS-001",medium,"Existence confirmed; current schedule price and operator relationship remain HOLD."
