venue_id,name,area,discovery_areas,cuisine,category_guess,address,phone,whatsapp,email,website,instagram,opening_hours,booking_url,booking_provider,item_count,priced_count,primary_source_url,evidence_count,date_crawled
a1ce1ae277119b79,Braud Cafe Seminyak,Seminyak,"Seminyak Bali,Ubud Bali,Sanur Bali,Berawa Canggu",Cafe,cafe,Jl. Mertanadi No.62,,,,https://baliholidaysecrets.com,https://www.instagram.com/braud.cafe,"8:00 am – 5:00 pm, daily",,unknown,1,0,https://www.baliholidaysecrets.com/seminyak-cafe/,1,2026-08-25T12:55:02+00:00
70bc6f4d9fdb7589,Unnamed Restaurant,Not specified,"Berawa Canggu,Petitenget Seminyak",mix cuisine,restaurant,Not specified,,,Not specified,https://bali.com,Not specified,5pm - 10.30pm,Not specified,unknown,17,0,https://bali.com/bali/destinations/canggu/eat-drink-going-out-in-canggu/,2,2026-08-25T12:55:02+00:00
9717493ab8eb92a6,Royal Cuisine Restaurant (Uttara),Uttara,"Ubud Bali,Kuta Legian Bali","Buffet restaurant, Chinese restaurant, Fast food restaurant, Indian restaurant, Thai restaurant",restaurant,"Natore Tower, House#32/D/E, 14th Floor, Road-3, Dhaka 1230, Bangladesh",,,,https://wanderlog.com,,Sunday to Friday: 12:00 PM – 10:30 PM; Saturday: 1:30 PM – 10:30 PM,,unknown,10,0,https://wanderlog.com/list/geoCategory/47205/cute-and-themed-restaurants-in-ubud,1,2026-08-25T12:55:02+00:00
428eb38b9139c97c,Mr. Parker's Menu,"Ubud, Gianyar Regency, Bali","Ubud Bali,Sanur Bali","Desserts, Lunch & Dinner, Breakfast",restaurant,,,,,https://linktr.ee,https://linktr.ee/ivycafebali,,,unknown,3,0,https://linktr.ee/ivycafebali,2,2026-08-25T12:55:02+00:00
f075d0d13b4a46b5,Melons,Nusa Dua,"Nusa Dua Bali,Umalas Bali",International,restaurant,"The Bale, Nusa Dua",,,,https://lifestyleretreats.com,,,https://lifestyleretreats.com/the-bale-nusa-dua/faces-restaurant/,unknown,42,0,https://lifestyleretreats.com/the-bale-nusa-dua/faces-restaurant/,2,2026-08-25T12:55:02+00:00
3bf7fcb9454adb3f,Sundara,Bali,Jimbaran Bali,modern Indonesian,restaurant,Check the website for address.,,,Check the website for contact email.,https://sundarabali.com,Check the website for Instagram.,Check the website for opening hours.,https://www.sundarabali.com/,website_form,67,0,https://www.sundarabali.com/menus/,2,2026-08-25T12:55:02+00:00
846b882f3ae175dd,True Food Kitchen,multiple locations,"Berawa Canggu,Pererenan Bali","vegan-friendly, healthy",restaurant,"various locations including Hackensack, NJ and The Woodlands, TX",,,,https://lemon8-app.com,https://www.instagram.com/baked.indonesia/,Mon - Sun 7AM – 7PM,,unknown,9,0,https://www.lemon8-app.com/@the.sg.nomad/7504246306215445000?region=sg,2,2026-08-25T12:55:02+00:00
7468fd43553a4fa3,The Avocado Factory,Canggu,Canggu Bali,"Vegetarian, Vegan, Cafe",cafe,"Canggu, Bali, Indonesia",,,,https://travel-lush.com,https://instagram.com/theavocadofactory,"Breakfast and Brunch, Dinner options available",,unknown,7,0,https://travel-lush.com/cafes-in-canggu/,1,2026-08-25T12:55:02+00:00
3bb98c0a541126fa,Kilo Bali,Seminyak,Seminyak Bali,Contemporary Asian,restaurant,"Seminyak, Bali, Indonesia",,,,https://girleatworld.net,,"Open Daily 8:00AM – 3:00PM, 6:00PM – midnight",https://www.kilobali.com,website_form,5,0,https://girleatworld.net/seminyak-bali-recommendations/,1,2026-08-25T12:55:02+00:00
18f4db740ee5ed40,Revolver Cafe,Seminyak,Seminyak Bali,Cafe,cafe,"Jl kayu aya / Gang 51, Seminyak – Oberoi",,,,https://dressedincopper.com,,,,unknown,7,0,https://www.dressedincopper.com/12-of-my-favourite-seminyak-cafes/,1,2026-08-25T12:55:02+00:00
06cefd9aa7900d81,AT59,Canggu,Seminyak Bali,café,cafe,Canggu,,,,https://balifoodandtravel.com,,,,unknown,8,5,https://www.balifoodandtravel.com/kuta-seminyak-warungs-where-locals-eat/,2,2026-08-25T12:55:02+00:00
f557d2fc50ceaf28,Mades Warung,Bali,Seminyak Bali,Authentic Indonesian,restaurant,Not specified,,,Not specified,https://madeswarung.com,Not specified,Not specified,Not specified,unknown,7,0,https://madeswarung.com/,2,2026-08-25T12:55:02+00:00
a74e69c280514927,The Laneway Restaurant,Seminyak,Seminyak Bali,fine dining,restaurant,"Peppers Seminyak, Seminyak, Bali",,,reservations@peppersseminyak.com,https://peppersseminyak.com,,7 am to 11 pm with last food order at 10.30 pm,https://www.erestaurants.co/modules/booking/book_form_section.php?redirect=1&bkrestaurant=ID_DP_R_PeppersSeminyak&bktitle&bktracking=WEBSITE,website_form,4,4,https://www.peppersseminyak.com/dining,1,2026-08-25T12:55:02+00:00
319b9a62d5d53dee,This Is Bali,Bali,Ubud Bali,Balinese Food & Desserts,restaurant,Not Provided,,,Not Provided,https://thisbali.com,Not Provided,Not Provided,Not Provided,unknown,31,0,https://thisbali.com/,2,2026-08-25T12:55:02+00:00
c7ac4a76658e3624,Warung d’Carik,Ubud,Ubud Bali,Balinese,restaurant,"Located on one of the roads leading to Ubud downtown, surrounded by rice fields.",,,,https://roadiscalling.com,,Evening hours recommended for sunset viewing.,https://www.ugandiresto.ee/en/,unknown,13,0,https://www.roadiscalling.com/places-to-eat-in-ubud-away-from-tourists/,2,2026-08-25T12:55:02+00:00
fee62bc4dd85b2d1,Kafe,Not provided,Ubud Bali,varied international,restaurant,Not provided,,,Not provided,https://kafe-bali.com,Not provided,Not provided,Not provided,unknown,94,0,https://kafe-bali.com/kafe-menu/,2,2026-08-25T12:55:02+00:00
104f05406f234fda,Gajah Putih,Ubud,Ubud Bali,modern gourmet cuisine,restaurant,"Jalan Raya Mawang no.88x, Lodtunduh, Ubud, Gianyar, Bali",,6287814403575,,https://gajahputihbali.com,https://www.instagram.com/gajahputih.bali,Wednesday — Sunday: 18:30—21:00,https://www.tablecheck.com/en/gajah-putih-bali/reserve/message?utm_source=webtilda,website_form,8,8,https://gajahputihbali.com/,2,2026-08-25T12:55:02+00:00
48d48f8c19f62115,Hidden Gem Uluwatu,Uluwatu,Uluwatu Bali,California-inspired cuisine,restaurant,"Hidden Hills Villas, Uluwatu",,,booking@hiddenhillsvillas.com,https://hiddengemuluwatu.com,,Monday - Sunday 7.30am-11pm,https://book.chope.co/booking?rid=hiddengemuluwatu2303bal&source=rest_Instagram.hiddengemuluwatu,chope,12,0,https://hiddengemuluwatu.com/,2,2026-08-25T12:55:02+00:00
cf521f2c64abbd92,The Cave Restaurant,Uluwatu,Uluwatu Bali,Modern gastronomy,restaurant,"Uluwatu, Bali",,,,https://theedgebali.com,,,,unknown,4,0,https://theedgebali.com/dining/,2,2026-08-25T12:55:02+00:00
2d1cf588e40585fa,Over the Moon Bali,Sanur,Sanur Bali,Western and Asian,restaurant,"Sanur, Bali",6282225511012,6282225511012,info@overthemoonbali.com,https://overthemoonbali.com,https://www.instagram.com/overthemoonbali,Every day 8:00am - 9:00pm,https://wa.me/6282225511012,unknown,1,0,https://www.overthemoonbali.com/,2,2026-08-25T12:55:02+00:00
