channel,segment_fit,speed,trust,reach_prearrival,reach_onisland,targeting_precision,cash_cost,founder_time,ops_complexity,tracking_quality,scalability,risk,verdict
Canggu accommodation partnerships (villa mgmt + surf camps + colivings),5,4,5,4,5,5,5 (near-zero),2 (heavy),3,5 (property UTM+QR),4,low — permission-based,PRIMARY
AU creators/publishers (Bali Buddies / Jonny Melon / @balifood),4,3,4,5,2,4,4 (gifted-first),3,3,4 (creator codes),4,medium — content control,SUPPORT 1
Communities value-first (TripAdvisor forum / r/bali / Bali Bogans),4,2 (weeks of trust-building),5,5,2,3,5 (free),3,2,2 (no links early),3,medium — bans if rushed,SUPPORT 2
Transfer/driver WhatsApp handoff (Bali Nusa / Get Driver / Midori),4,4,4,2,5 (45-90 min captive ride),4,5,3,3,4 (driver code),3,low,EXPERIMENT
Bikago scooter delivery insert,3,4,3,1,4,3,5,2,2,4,3,low,EXPERIMENT
Coworking/wellness event co-host (Tropical Nomad / Nirvana),3 (nomad skew),3,4,1,4,3,4,3,2,3 (event code),2,low,EXPERIMENT
Honeycombers newsletter placement (23k subs),4,4,4,4,2,3,3 (paid),1,1,3 (UTM),2,low,EXPERIMENT
Meta Ads AU capped test,4,3,2,5,1,5,2 ($500 cap),2,3,5 (pixel/CAPI),5,medium — burns cash pre-proof,GATED (G5; not before Day 31)
Own Instagram daily posting,3,1 (slow compounding),3,3,2,2,4,1 (time sink),2,2,3,low,NOT NOW — min credibility layer only (9-12 proof posts)
Airport in-terminal media (InJourney tender / Masscom),3,1 (months),3,1,5,2,1 (brand budgets),2,5,2,2,medium,NOT NOW
TikTok owned channel,3,2,2,4,1,2,4,1,2,2,4,low,NOT NOW
PR / travel media,2,2,3,3,1,1,3,2,2,1,2,low,NOT NOW
