slug,name,category,district,official_url,instagram_url,full_address,gmaps_url
palm-garden-spa-amed,Palm Garden Spa,spa,amed,https://palmgardenamed.com,,,"https://www.google.com/maps/search/?api=1&query=Palm%20Garden%20Spa,%20Amed,%20Bali,%20Indonesia"
kedisan-kintamani,Kedisan Kintamani,cafe,bangli,,,"Oculus Bali Jalan Windu Sara, Kedisan, Kintamani, Bali 80652",
tirta-padma-tribhuwana-padma,Tirta Padma (Tribhuwana Padma),restaurant,bangli,,,"Tribhuwana Padma, Jalan Kedisan No. 28, Kintamani, Bali 80652",
bali-barber-canggu,Bali Barber Canggu,beauty,canggu,,,Canggu,https://www.google.com/maps/search/?api=1&query=Bali+Barber+Canggu+Bali
home-cafe-mengwi,HOME Cafe MENGWI,cafe,canggu,,https://www.instagram.com/homekikicafe/,,
honeycomb-bali,Honeycomb Bali,cafe,canggu,,,"Jalan Raya Canggu, Pererenan, Bali 80351",
fitness-plus-canggu,Fitness Plus Canggu,fitness,canggu,https://canggu.fitnessplusindonesia.co.id/,https://www.instagram.com/fitnessplus.canggu/,,https://www.google.com/maps/search/?api=1&query=Fitness%20Plus%20Canggu%20Canggu%20Bali
paradise-padel-bali,Paradise Padel Bali,fitness,canggu,,https://www.instagram.com/paradisepadelbali/,,https://www.google.com/maps/search/?api=1&query=Paradise%20Padel%20Bali%20Berawa%20%2F%20south%20Canggu%20edge%20Bali
surya-fitness-gym,Surya Fitness Gym,fitness,canggu,https://www.suryagymbali.com/,https://www.instagram.com/suryagymbali/,,https://www.google.com/maps/search/?api=1&query=Surya%20Fitness%20Gym%20Near%20Obsidian%20%2F%20Pererenan%20Bali
top-gym,Top Gym,fitness,canggu,https://topgym.id/canggu,https://www.instagram.com/topgym.bali/,,https://maps.app.goo.gl/GUoRP8ULyY1k4YbR8
victory-fitness-club,Victory Fitness Club,fitness,canggu,,https://www.instagram.com/victoryfitnessclub/,,https://www.google.com/maps/search/?api=1&query=Victory%20Fitness%20Club%20Canggu%20%2F%20Pererenan%20side%20Bali
wahdah-canggu,Wahdah,rental,canggu,https://wahdah.id,,,"https://www.google.com/maps/search/?api=1&query=Wahdah,%20Bali,%20Bali,%20Indonesia"
bokashi-bali-pererenan,Bokashi Bali (Pererenan),restaurant,canggu,,,"Jalan Pantai Pererenan No.159, Pererenan, Bali 80361",
focaccia-buddies,Focaccia Buddies,restaurant,canggu,,https://www.instagram.com/focacciabuddies.bali/,,
hip-hop-soul-restaurant,Hip Hop Soul Restaurant,restaurant,canggu,,,"Jalan Raya Canggu, Canggu, Bali 80351",
kopiten,Kopiten,restaurant,canggu,,https://www.instagram.com/kopiten_coffee/,,
lowcal-cheatery-and-bar,"LowCal, Cheatery and Bar",restaurant,canggu,,,"Jalan Pantai Batu Bolong, No.94, Canggu, Bali 80361",
mavammy,Mavammy,restaurant,canggu,,https://www.instagram.com/mavammy/,,
porch,Porch,restaurant,canggu,,https://www.instagram.com/porch.bali/,,
vore-grillhouse-and-lounge,Vore Grillhouse and Lounge,restaurant,canggu,,,"Jalan Pantai Berawa No.34, Tibubeneng, Canggu, Bali 80361",
tyce-spa-bali-canggu,Tyce Spa Bali,spa,canggu,https://tychespabali.com,,,"https://www.google.com/maps/search/?api=1&query=Tyce%20Spa%20Bali,%20Pererenan,%20Bali,%20Indonesia"
