source_record_id,original_name,original_domain,original_status,original_confidence,source_document,source_line,raw_notes,parse_status,parse_error,created_at,generator,source_version
OB-INT-0001,Find where to go on arrival day when jet-lagged,Arrival and first day,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,13,| OB-INT-0001 | Find where to go on arrival day when jet-lagged | Arrival and first day | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.301Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0002,Choose first-night dinner near landing area,Arrival and first day,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,14,| OB-INT-0002 | Choose first-night dinner near landing area | Arrival and first day | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0003,Handle Visa-on-Arrival + cash on landing,Arrival and first day,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,15,| OB-INT-0003 | Handle Visa-on-Arrival + cash on landing | Arrival and first day | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0004,Sleep near airport before/after red-eye flight,Airport and departure,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,16,| OB-INT-0004 | Sleep near airport before/after red-eye flight | Airport and departure | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0005,Kill 3–6 hours near airport before flight,Airport and departure,EVIDENCE_STRONG,89,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,17,| OB-INT-0005 | Kill 3–6 hours near airport before flight | Airport and departure | EVIDENCE_STRONG | 89 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0006,Have a proper last-day meal before evening flight,Airport and departure,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,18,| OB-INT-0006 | Have a proper last-day meal before evening flight | Airport and departure | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0007,Find breakfast open before 7 AM,Breakfast,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,19,| OB-INT-0007 | Find breakfast open before 7 AM | Breakfast | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0008,Find brunch in Canggu with strong coffee and eggs,Breakfast,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,20,| OB-INT-0008 | Find brunch in Canggu with strong coffee and eggs | Breakfast | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0009,Find Ubud breakfast spot with rice-field or nature view,Breakfast,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,21,| OB-INT-0009 | Find Ubud breakfast spot with rice-field or nature view | Breakfast | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0010,Find breakfast in Sanur that isn't the hotel buffet,Breakfast,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,22,| OB-INT-0010 | Find breakfast in Sanur that isn't the hotel buffet | Breakfast | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0011,"Grab a quick, cheap lunch mid-day between activities",Lunch,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,23,"| OB-INT-0011 | Grab a quick, cheap lunch mid-day between activities | Lunch | EVIDENCE_STRONG | 85 |",OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0012,Have a lunch with a view (rice field / cliff / ocean),Lunch,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,24,| OB-INT-0012 | Have a lunch with a view (rice field / cliff / ocean) | Lunch | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0013,Order food to villa via Grab/Gojek when tired,Lunch,EVIDENCE_STRONG,86,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,25,| OB-INT-0013 | Order food to villa via Grab/Gojek when tired | Lunch | EVIDENCE_STRONG | 86 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
