internal_intent_id,canonical_name,entity_class,aliases,source_system,source_key,surface,proposed_parent_id,conflict_status,data_support_status,external_reconciliation_status,owner_decision_required
INTENT_AREA_BASE_FIT,area-base fit,USER_JOB,"area-base;trip-base;is-this-area-right",seo_registry,area-base,SEO district hubs and editorial,None,PROPOSED,PARTIAL,NOT_RUN,Approve canonical ID after external candidate reconciliation
INTENT_STAY_ZONE,stay zone choice,USER_JOB,"where-to-stay;accommodation-location",seo_registry,stay-zone,SEO editorial,None,PROPOSED,PARTIAL,NOT_RUN,Confirm boundary against hotel selection
INTENT_PLACE_DISCOVERY,place discovery,USER_JOB,"explore;find a place;catalogue browse",runtime_catalogue,places, /places,None,PROPOSED,PARTIAL,NOT_RUN,Confirm whether catalogue browse is a job or surface-only modifier
INTENT_SEARCH_BRIEF,search by brief,USER_JOB,"search;query;brief search",runtime_catalogue,query, /places search,None,PROPOSED,PARTIAL,NOT_RUN,Define semantic versus substring search boundary
INTENT_TODAY_DECISION,today decision,USER_JOB,"my-day;today;what should I do today",runtime_day_builder,my-day, /my-day,None,PROPOSED,PARTIAL,NOT_RUN,Approve one-day engine ownership
INTENT_TRIP_PLAN,future trip planning,USER_JOB,"plan;future trip;multi-day plan",runtime_plan,plan, /plan,None,PROPOSED,PARTIAL,NOT_RUN,Approve multi-day planning ownership
INTENT_TRIP_DURATION,planning horizon,MODIFIER,"today;weekend;week;month",trip_missions,duration, /plan and /places,INTENT_TRIP_PLAN,PROPOSED,PARTIAL,NOT_RUN,Confirm modifier not standalone job
INTENT_WORK_SESSION,work session,USER_JOB,"work-session;remote work;work cafe",intents_and_moments,work-session, /places and Plan,INTENT_PLACE_DISCOVERY,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Keep distinct from venue capability work-friendly
INTENT_DATE_NIGHT,date night,USER_JOB,"date-night;romantic dinner;couples",intents_and_collections,date-night, /places collections SEO,INTENT_ROMANTIC_BALI,CONFLICT,PARTIAL,NOT_RUN,Approve probable romantic alias after evidence
INTENT_SPECIAL_OCCASION,special occasion,USER_JOB,"special-occasion;celebration",intents_and_collections,special-occasion, /places collections,INTENT_DATE_NIGHT,CONFLICT,PARTIAL,NOT_RUN,Do not alias automatically to date-night
