source_record_id,external_name,normalized_record_type,risk_class,internal_key,internal_type,internal_source,match_basis,reconciliation_status,auto_decision_reason,created_at,generator,source_version
OB-INT-0001,Find where to go on arrival day when jet-lagged,CANONICAL_USER_JOB,LOW,just-landed,DERIVED_COLLECTION,lib/collections.ts,alias:arrival,MATCHED,"matched internal 'just-landed' via alias ""arrival""",2026-07-29T18:35:16.404Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0002,Choose first-night dinner near landing area,CANONICAL_USER_JOB,LOW,just-landed,DERIVED_COLLECTION,lib/collections.ts,alias:arrival,PARTIAL,"matched internal 'just-landed' via alias ""arrival""; 1 weaker candidate(s): after-dark",2026-07-29T18:35:16.405Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0003,Handle Visa-on-Arrival + cash on landing,HIGH_RISK_GUIDE,LEGAL_REGULATORY,,,,,UNMATCHED_EXTERNAL,high-risk guidance is RESEARCH_ONLY and intentionally has no product-surface counterpart,2026-07-29T18:35:16.405Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0004,Sleep near airport before/after red-eye flight,CANONICAL_USER_JOB,LOW,just-landed,DERIVED_COLLECTION,lib/collections.ts,alias:airport,MATCHED,"matched internal 'just-landed' via alias ""airport""",2026-07-29T18:35:16.405Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0005,Kill 3–6 hours near airport before flight,CANONICAL_USER_JOB,LOW,just-landed,DERIVED_COLLECTION,lib/collections.ts,alias:airport,MATCHED,"matched internal 'just-landed' via alias ""airport""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0006,Have a proper last-day meal before evening flight,CANONICAL_USER_JOB,LOW,late-dinner,TIME_MODIFIER,lib/catalogue-moments.ts,alias:evening,PARTIAL,"matched internal 'late-dinner' via alias ""evening""; 1 weaker candidate(s): just-landed",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0007,Find breakfast open before 7 AM,CANONICAL_USER_JOB,OPERATIONAL,brunch,USER_JOB,lib/intents.ts (brunch_after_surf),alias:breakfast,MATCHED,"matched internal 'brunch' via alias ""breakfast""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0008,Find brunch in Canggu with strong coffee and eggs,CHILD_SCENARIO,LOW,brunch,USER_JOB,lib/intents.ts (brunch_after_surf),alias:brunch,PARTIAL,"matched internal 'brunch' via alias ""brunch""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0009,Find Ubud breakfast spot with rice-field or nature view,CHILD_SCENARIO,LOW,brunch,USER_JOB,lib/intents.ts (brunch_after_surf),alias:breakfast,PARTIAL,"matched internal 'brunch' via alias ""breakfast""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0010,Find breakfast in Sanur that isn't the hotel buffet,CHILD_SCENARIO,LOW,brunch,USER_JOB,lib/intents.ts (brunch_after_surf),alias:breakfast,PARTIAL,"matched internal 'brunch' via alias ""breakfast""; 2 weaker candidate(s): where-to-stay, district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0011,"Grab a quick, cheap lunch mid-day between activities",CANONICAL_USER_JOB,OPERATIONAL,midday-reset,DAY_SCENARIO,lib/moments.ts,alias:lunch,PARTIAL,"matched internal 'midday-reset' via alias ""lunch""; 1 weaker candidate(s): cheap-and-brilliant",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0012,Have a lunch with a view (rice field / cliff / ocean),CANONICAL_USER_JOB,LOW,midday-reset,DAY_SCENARIO,lib/moments.ts,alias:lunch,MATCHED,"matched internal 'midday-reset' via alias ""lunch""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0013,Order food to villa via Grab/Gojek when tired,CANONICAL_USER_JOB,OPERATIONAL,midday-reset,DAY_SCENARIO,lib/moments.ts,alias:lunch,MATCHED,"matched internal 'midday-reset' via alias ""lunch""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
