canonical_intent_id,canonical_name,surface,surface_evidence,existing_key,projection_type,blocking_reason,auto_decision_reason,created_at,generator,source_version
OB-CAN-0001,Find where to go on arrival day when jet-lagged,PLACES_FILTER,lib/collections.ts,just-landed,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'just-landed' already exists in lib/collections.ts; projection reuses it,2026-07-29T18:38:44.122Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0002,Choose first-night dinner near landing area,PLACES_FILTER,lib/collections.ts,just-landed,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'just-landed' already exists in lib/collections.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0003,Handle Visa-on-Arrival + cash on landing,NO_BUILD,,,NONE,"risk_policy: RESEARCH_ONLY, auto_build_allowed=false",no existing runtime key matched; would require a new projection,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0004,Sleep near airport before/after red-eye flight,PLACES_FILTER,lib/collections.ts,just-landed,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'just-landed' already exists in lib/collections.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0005,Kill 3–6 hours near airport before flight,PLACES_FILTER,lib/collections.ts,just-landed,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'just-landed' already exists in lib/collections.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0006,Have a proper last-day meal before evening flight,PLACES_FILTER,lib/catalogue-moments.ts,late-dinner,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'late-dinner' already exists in lib/catalogue-moments.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0007,Find breakfast open before 7 AM,PLACES_FILTER,lib/intents.ts,brunch,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'brunch' already exists in lib/intents.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0008,"Grab a quick, cheap lunch mid-day between activities",PLACES_FILTER,lib/moments.ts,midday-reset,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'midday-reset' already exists in lib/moments.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0009,Have a lunch with a view (rice field / cliff / ocean),PLACES_FILTER,lib/moments.ts,midday-reset,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'midday-reset' already exists in lib/moments.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0010,Order food to villa via Grab/Gojek when tired,PLACES_FILTER,lib/moments.ts,midday-reset,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'midday-reset' already exists in lib/moments.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0011,Choose a romantic dinner in Ubud,PLACES_FILTER,lib/intents.ts,date-night,EXISTING_KEY,"BLOCKED_BY_DATA: no observable published, job-tagged venue coverage",internal key 'date-night' already exists in lib/intents.ts; projection reuses it,2026-07-29T18:38:44.123Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
