venue_slug,page_family,page_url,viewport,image_rendered,network_status,console_error,fallback_used,crop_ok,evidence,result
therapy-day-spa-pererenan,direct venue page,http://127.0.0.1:3000/places/therapy-day-spa-pererenan,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
samesa-canggu,direct venue page,http://127.0.0.1:3000/places/samesa-canggu,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
rite-bali,direct venue page,http://127.0.0.1:3000/places/rite-bali,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
the-shady-shack,direct venue page,http://127.0.0.1:3000/places/the-shady-shack,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
ulu-garden,direct venue page,http://127.0.0.1:3000/places/ulu-garden,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
karsa-spa,direct venue page,http://127.0.0.1:3000/places/karsa-spa,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
udara-bali,direct venue page,http://127.0.0.1:3000/places/udara-bali,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
the-yoga-barn,direct venue page,http://127.0.0.1:3000/places/the-yoga-barn,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
revolver-canggu,direct venue page,http://127.0.0.1:3000/places/revolver-canggu,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
single-fin,direct venue page,http://127.0.0.1:3000/places/single-fin,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
bgs-uluwatu,direct venue page,http://127.0.0.1:3000/places/bgs-uluwatu,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
mozaic,direct venue page,http://127.0.0.1:3000/places/mozaic,default desktop,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
therapy-day-spa-pererenan,direct venue page,http://127.0.0.1:3000/places/therapy-day-spa-pererenan,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
samesa-canggu,direct venue page,http://127.0.0.1:3000/places/samesa-canggu,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
rite-bali,direct venue page,http://127.0.0.1:3000/places/rite-bali,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
the-shady-shack,direct venue page,http://127.0.0.1:3000/places/the-shady-shack,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
ulu-garden,direct venue page,http://127.0.0.1:3000/places/ulu-garden,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
karsa-spa,direct venue page,http://127.0.0.1:3000/places/karsa-spa,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
udara-bali,direct venue page,http://127.0.0.1:3000/places/udara-bali,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
the-yoga-barn,direct venue page,http://127.0.0.1:3000/places/the-yoga-barn,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
revolver-canggu,direct venue page,http://127.0.0.1:3000/places/revolver-canggu,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
single-fin,direct venue page,http://127.0.0.1:3000/places/single-fin,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
bgs-uluwatu,direct venue page,http://127.0.0.1:3000/places/bgs-uluwatu,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
mozaic,direct venue page,http://127.0.0.1:3000/places/mozaic,390x844 mobile,NO,navigation completed; not-found shell,,not reached,NOT ASSESSED,local runtime returned Place not found; /places reports 0 published places,BLOCKED
