приоритет,slug,заведение,район,показы_90д,позиция,гиды,why_its_here_В_БАЗЕ_СЕЙЧАС,best_for_В_БАЗЕ_СЕЙЧАС,часы_проверенные,сайт,instagram,источник_есть,НОВОЕ_why_its_here,НОВОЕ_best_for,НОВОЕ_not_for,НОВОЕ_price_anchor,НОВОЕ_what_to_order,источник_факта,проверено_дата
1,lowcal-cheatery-and-bar,"LowCal, Cheatery and Bar",Canggu,17,10.2,/best-restaurants-in-bali,Restaurant on Jalan Pantai Batu Bolong in Canggu.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
2,noonik-bistro,NOONIK Bistro,Ubud,15,10.2,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant on Jl. Raya Pengosekan No.1 in Ubud, open daily 7:00am-10:30pm.",Travellers looking for a current place to eat in Ubud; Gianyar.,Mo-Su 07:00-22:30,https://noonikbistro.com/,https://www.instagram.com/noonikbistro,да,,,,,,,
3,nari-fire-influenced-bistro,NARI - Fire Influenced Bistro,Ubud,7,15.1,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant on Jl. Raya Campuhan in Ubud, open daily 12:00-11:00pm.",Travellers looking for a current place to eat in Ubud.,Mo-Su 12:00-23:00,http://naribali.com/,,да,,,,,,,
4,chupacabras-south-american-prime-meats,CHUPACABRAS - South American | Prime Meats,Ubud,6,10.2,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant in Kedewatan, Ubud, open daily 12:00-11:00pm.",Travellers looking for a current place to eat in Ubud.,,https://www.chupacabrasbali.com/,,да,,,,,,,
5,hakkoku-bali-sushi-omakase-restaurant,Hakkoku Bali - Sushi Omakase Restaurant,Ubud,5,15.2,/best-restaurants-in-bali; /collections/japanese; /ubud/best-restaurants,Restaurant on Jl. Raya Sayan No.70 in Ubud.,Travellers looking for a current place to eat in Ubud.,,,,НЕТ — писать нечем,,,,,,,
6,caffe-torino-by-venticinque-group-at-grand-srikandi-mansion,Caffè Torino by Venticinque Group at Grand Srikandi Mansion,Canggu,5,37.6,/best-restaurants-in-bali,Restaurant on Jl. Cepaka Utama No.32 in Canggu.,Travellers looking for a current place to eat in Canggu.,,,https://www.instagram.com/caffe_torino_by_venticinque/,да,,,,,,,
7,tirta-padma-tribhuwana-padma,Tirta Padma (Tribhuwana Padma),bangli,5,14,/places,Restaurant on Jalan Kedisan No. 28 in Bangli.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
8,casa-de-lokha-mexican-grill-and-fusion-the-lokha-ubud,Casa de Lokha Mexican Grill and Fusion (The Lokha Ubud),Ubud,4,9,/best-restaurants-in-bali; /ubud/best-restaurants,Restaurant on Jalan Bangkiang Sidem No.250 in Ubud.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
9,chora-mediterranean-restaurant-and-bar,CHORA Mediterranean Restaurant & Bar,Ubud,4,37.8,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant on Jl. Bisma No.70 in Ubud, open daily 8:00am-11:00pm.",Travellers looking for a current place to eat in Ubud.,,http://choraubud.com/,https://www.instagram.com/choraubud/,да,,,,,,,
10,goro-goro-cafe-and-kitchen,GORO GORO CAFE & KITCHEN,Sanur,3,27,/best-restaurants-in-bali; /sanur/best-restaurants,"Restaurant on Jl. Bypass Ngurah Rai No.157 in Sanur, open daily 8:30am-10:00pm.",Travellers looking for a current place to eat in Sanur.,,,https://www.instagram.com/gorogorocafekitchen/,да,,,,,,,
