"resort","venue_or_product","district","star","product_type","price","whats_included","hours","booking_channel","monetize","audience","honest_note","photo_url","source_url","price_source_url","accessed","price_source_type","verification_status","record_basis"
"The Apurva Kempinski Bali","Koral Restaurant","Nusa Dua","5","resort_restaurant","Regular table set menu from IDR 1,200,000+21% per adult; tunnel table from IDR 3,000,000+21% per couple","Aquarium dining; set menus; regular-table deposit IDR 500,000 net/person","Daily lunch 12:00–15:00; dinner 17:30–22:30; dinner adults only; children under 12 lunch only","TableCheck via official hotel site; advance reservation","SEATED","[ИНТЕРПРЕТАЦИЯ] пары, honeymoon, luxury","[ИНТЕРПРЕТАЦИЯ] Сильнейший visual/SEO-ресторан района; туннель значительно дороже, а детский доступ ограничен обедом","[NO DATA]","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/koral-restaurant","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/koral-restaurant","2026-07-19","official_hotel","current_official","ИЗВЛЕЧЕНО"
"The Apurva Kempinski Bali","Brunchcation at Pala","Nusa Dua","5","brunch","IDR 798,000++ adult; IDR 400,000++ child 6–12; under 6 free","Sunday brunch; current official page does not explicitly confirm pool access","Sun 12:00–15:30","Official hotel WhatsApp +62 811 3880 7788 / email; advance reservation","SEATED","[ИНТЕРПРЕТАЦИЯ] семьи, пары, luxury","[ИНТЕРПРЕТАЦИЯ] Цена прозрачна; прежние описания pool access не переносить на 2026 без подтверждения","[NO DATA]","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/pala-restaurant-rooftop-bar/brunchcation","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/pala-restaurant-rooftop-bar/brunchcation","2026-07-19","official_hotel","current_official","ИЗВЛЕЧЕНО"
"The Apurva Kempinski Bali","Dim Sum Brunch at Bai Yun","Nusa Dua","5","brunch","IDR 528,000++ adult; IDR 188,000++ child 9–12; under 9 free","28 dim sum dishes plus free-flow iced/jasmine tea and chilled juices","Sat–Sun 12:00–16:00","Official hotel reservation; advance booking","SEATED","[ИНТЕРПРЕТАЦИЯ] семьи, пары, residents","[ИНТЕРПРЕТАЦИЯ] Один из самых понятных по цене weekend-продуктов; не Sunday-only","[NO DATA]","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/bai-yun/dim-sum-brunch","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/bai-yun/dim-sum-brunch","2026-07-19","official_hotel","current_official","ИЗВЛЕЧЕНО"
"The Apurva Kempinski Bali","Izakaya Journey","Nusa Dua","5","brunch","IDR 580,000++ per person","18 Japanese dishes, unlimited-to-order format","Sat–Sun 12:00–16:00","Official hotel reservation; advance booking","SEATED","[ИНТЕРПРЕТАЦИЯ] пары, foodies, residents","[ИНТЕРПРЕТАЦИЯ] Хорошая альтернатива буфету; формат ближе к unlimited lunch, чем к классическому brunch","[NO DATA]","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/izakaya-by-oku/izakaya-journey","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/izakaya-by-oku/izakaya-journey","2026-07-19","official_hotel","current_official","ИЗВЛЕЧЕНО"
"The Apurva Kempinski Bali","Reef Beach Club Restaurant","Nusa Dua","5","resort_restaurant","[NO DATA]","Beachfront dining; official page also describes a 42m infinity pool, cabanas, loungers and watersports as club infrastructure","Breakfast 07:00–10:30; all-day dining 12:00–23:00","TableCheck / official hotel","SEATED","[ИНТЕРПРЕТАЦИЯ] pairs, families, luxury","[ИНТЕРПРЕТАЦИЯ] Не классифицировать как day pass и не обещать free entry/pool use: official page не публикует day-use fee, minimum spend или право ресторанного гостя на бассейн","https://storage.kempinski.com/cdn-cgi/image/w%3D1920%2Cf%3Dauto%2Cfit%3Dscale-down%2Cg%3Dauto/ki-cms-prod/images/8/6/4/3/17923468-2-eng-GB/c72da40793b5-84152385_4K.jpg","https://www.kempinski.com/en/the-apurva-kempinski-bali/restaurants-bars/reef-beach-club","[NO DATA]","2026-07-19","no_data","current_restaurant_day_use_call_required","ИЗВЛЕЧЕНО; day-use условия требуют проверки"
"The St. Regis Bali Resort","The St. Regis Bali Brunch at Kayuputi","Nusa Dua","5","brunch","IDR 1,250,000 net food; IDR 1,750,000 net beverage package; IDR 2,850,000 net premium package","Saturday brunch at beachfront Kayuputi","Sat 11:00–15:00","Official Kayuputi website / direct reservation","SEATED","[ИНТЕРПРЕТАЦИЯ] пары, luxury, residents","[ИНТЕРПРЕТАЦИЯ] Премиальный Saturday brunch; внимательно выбирать пакет напитков","[NO DATA]","https://www.kayuputibali.com/specials","https://www.kayuputibali.com/specials","2026-07-19","official_venue","current_official","ИЗВЛЕЧЕНО"
"The St. Regis Bali Resort","Astor Brunch at Kayuputi","Nusa Dua","5","brunch","IDR 1,650,000 net food; IDR 1,750,000 net beverage package; IDR 2,850,000 net premium package","Aperitifs 11:00–12:00; à la carte pass-around service 12:00–15:00","Sun 11:00–15:00","Official Kayuputi website / direct reservation","SEATED","[ИНТЕРПРЕТАЦИЯ] пары, honeymoon, luxury","[ИНТЕРПРЕТАЦИЯ] Один из самых дорогих регулярных brunch-продуктов района; формат и цена хорошо подтверждены","[NO DATA]","https://www.kayuputibali.com/specials","https://www.kayuputibali.com/specials","2026-07-19","official_venue","current_official","ИЗВЛЕЧЕНО"
"The St. Regis Bali Resort","Boneka Sunday Brunch","Nusa Dua","5","brunch","IDR 950,000 net adult; IDR 475,000 net child 3–12; beverage package IDR 1,350,000 net","Sunday brunch; beverage packages sold separately","Sun [hours not fully exposed on offer page]","Marriott offer / SevenRooms","SEATED","[ИНТЕРПРЕТАЦИЯ] семьи, luxury","[ИНТЕРПРЕТАЦИЯ] Более семейная и дешевле Astor Brunch; часы подтвердить при бронировании","[NO DATA]","https://www.marriott.com/offers/boneka-sunday-brunch-off-149833/dpsxr-the-st-regis-bali-resort~X~7CC30ECC-47BA-5165-9769-03A2D70C5017","https://www.marriott.com/offers/boneka-sunday-brunch-off-149833/dpsxr-the-st-regis-bali-resort~X~7CC30ECC-47BA-5165-9769-03A2D70C5017","2026-07-19","official_hotel","current_official","ИЗВЛЕЧЕНО"
"The St. Regis Bali Resort","Kayuputi Restaurant","Nusa Dua","5","resort_restaurant","[NO DATA]","Beachfront Pan-Asian fine dining; public table reservation","Daily lunch 12:00–15:30; dinner 18:00–22:00","Marriott ‘Find a Table’ / direct","SEATED","[ИНТЕРПРЕТАЦИЯ] пары, honeymoon, luxury","[ИНТЕРПРЕТАЦИЯ] Сильный seated-объект, но текущий prix-fixe/à-la-carte чек не опубликован единым числом","[NO DATA]","https://www.marriott.com/en-us/hotels/dpsxr-the-st-regis-bali-resort/dining/","[NO DATA]","2026-07-19","no_data","current_official_product_no_price","ИЗВЛЕЧЕНО"
"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua","Arwana Sunday Brunch","Nusa Dua","5","brunch","[NO DATA]","Two current official pages conflict: Marriott shows IDR 650,000 net with non-alcoholic drinks/mocktails and pool day pass; Arwana site shows IDR 788,000 net food package and IDR 500,000 net beverage package","Sun; Marriott shows 12:00–15:00, reconfirm","SevenRooms / WhatsApp +62 811 397 1304","SEATED","[ИНТЕРПРЕТАЦИЯ] couples, families, residents","[ИНТЕРПРЕТАЦИЯ] Не публиковать одну цену: official sources conflict (650k vs 788k); позвонить и зафиксировать, включён ли pool pass","[NO DATA]","https://www.arwanarestaurant.com/","https://www.arwanarestaurant.com/","2026-07-19","official_conflict","official_conflict_call_required","ИЗВЛЕЧЕНО; официальные источники конфликтуют"
