canonical_intent_id,canonical_name,serp_status,query_variants,serp_intent,top_urls,interactive_tools_ranking,content_format,market,seasonality,search_volume,zero_click_risk,cannibalization_risk,serp_opportunity_score,rationale,observed_at,generator,source_version
OB-CAN-0011,Choose a romantic dinner in Ubud,RESEARCHED,romantic restaurants Ubud | best romantic dinner Ubud | Ubud date night restaurants | romantic dinner Bali Ubud view,commercial-investigational: pick a specific restaurant for a couple occasion,https://sayanvalley.com/romantic-restaurants-in-ubud/ | https://www.karolinagenova.com/bali-blog/romantic-restaurants-ubud | https://indonesia.tripcanvas.co/bali/ubud-restaurants/ | https://thesamaya.com/ubud/dining | https://www.kubuatmandapa.com/,NONE observed,editorial listicle (top-5 / top-10 / top-25) plus venue-owned pages,global English-language travel search; results skew to Bali-resident bloggers and venue sites,UNKNOWN (no verified seasonality source),UNKNOWN,"MODERATE — listicles attract featured snippets, but the choice itself needs a page visit","REAL — repo already exposes /bali/[district]/date-night via lib/intents.ts; a new tool must reuse that intent, not duplicate it",9,"No interactive decision tool ranks at all; the entire first page is static editorial and venue marketing. This is squarely Other Bali's owned territory (selection, editorial verdict, Best for / Not ideal for). Held at 9 not 10 because listicle incumbency is strong and cannibalization against the existing date-night spoke is real.",2026-07-29T18:58:09.066Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0007,Find breakfast open before 7 AM,RESEARCHED,breakfast open before 7am Canggu | early morning coffee Canggu | cafes open 6am Bali,local-practical: find somewhere actually open at a specific early hour,https://loopbali.com/early-morning-coffee-canggu | https://loopbali.com/breakfast-canggu | https://www.kayumacoffee.com/ | https://local-coffee.goto-where.com/,NONE observed,"single venue running programmatic SEO against the exact query, plus individual venue pages",Canggu/Pererenan-local English search,UNKNOWN (no verified seasonality source),UNKNOWN,"HIGH — Google Maps answers ""open now"" natively without a click",LOW — no existing Other Bali route owns opening-hours filtering,6,"No tool ranks, and the top result openly admits ""hours can drift, check Google Maps on the morning you go"", which is a genuine freshness gap Other Bali's last_verified_at could close. Scored only 6 because zero-click risk is high and opening-hours filtering sits adjacent to AGENTS.md guardrail 1 (no Google Maps clone).",2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0004,Sleep near airport before/after red-eye flight,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0018,Find laptop-friendly cafe with power outlets and fast Wi-Fi,RESEARCHED,laptop friendly cafe Canggu | best wifi cafe Bali work | cafes with power outlets Canggu,commercial-investigational: pick a cafe to work from today,https://geronimo-ai.com/best-cafes/bali-canggu/ruko-cafe | https://geronimo-ai.com/best-cafes/bali-canggu/amolas | https://baliuntold.com/destinations/canggu/laptop-friendly-cafes/ | https://loopbali.com/work-friendly-cafe-canggu,"YES — geronimo-ai.com ranks a comparison tool with per-cafe work scores, measured WiFi Mbps and feature tables",structured comparison tool plus long-form listicle,"digital-nomad English search, Canggu-centric",UNKNOWN (no verified seasonality source),UNKNOWN,MODERATE,REAL — repo exposes /bali/[district]/work-cafe via lib/intents.ts,5,"An interactive tool already occupies this SERP and competes on measured WiFi speed, a datum Other Bali does not hold and cannot invent. Entering here would mean losing on the incumbent's axis.",2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0019,"Buy a coworking day pass (drop-in, no membership)",UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0001,Find where to go on arrival day when jet-lagged,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0005,Kill 3–6 hours near airport before flight,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0017,Find quiet cafe suitable for Zoom / video calls,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0020,Choose a sunset dinner in Uluwatu,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0149,Find authentic local restaurants (not tourist),UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
