source_record_id,record_name,register_type,risk_class,publication_status,auto_build_allowed,policy_basis,auto_decision_reason,created_at,generator,source_version
OB-INT-0003,Handle Visa-on-Arrival + cash on landing,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0047,Feel safe as a solo female traveller,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,override: solo female safety is personal-safety guidance (rule table had OVERRIDE),2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0056,"Recover from Bali belly (what to eat, pharmacy, drinks)",HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0087,Understand safety as a solo female / at ATMs,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0088,Withdraw cash safely (avoid ATM skimming),HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0089,Find medical clinic / hospital in emergency,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0097,Do something in Bali as a pregnant traveller,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0101,Protect skin from intense tropical sun (15-minute burn),HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0102,Understand and avoid rip currents at Bali beaches,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0103,Decide whether to rent a motorbike or use apps,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
