source_record_id,original_name,original_domain,original_status,original_confidence,normalized_record_type,parent_source_record_id,risk_class,decision_rule,auto_decision_reason,created_at,generator,source_version
OB-INT-0001,Find where to go on arrival day when jet-lagged,Arrival and first day,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.176Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0002,Choose first-night dinner near landing area,Arrival and first day,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0003,Handle Visa-on-Arrival + cash on landing,Arrival and first day,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,LEGAL_REGULATORY,TYPE.HIGH_RISK_GUIDE.legal,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0004,Sleep near airport before/after red-eye flight,Airport and departure,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0005,Kill 3–6 hours near airport before flight,Airport and departure,EVIDENCE_STRONG,89,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0006,Have a proper last-day meal before evening flight,Airport and departure,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0007,Find breakfast open before 7 AM,Breakfast,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0008,Find brunch in Canggu with strong coffee and eggs,Breakfast,EVIDENCE_STRONG,92,CHILD_SCENARIO,OB-INT-0007,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0009,Find Ubud breakfast spot with rice-field or nature view,Breakfast,EVIDENCE_STRONG,88,CHILD_SCENARIO,OB-INT-0007,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0010,Find breakfast in Sanur that isn't the hotel buffet,Breakfast,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0007,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0011,"Grab a quick, cheap lunch mid-day between activities",Lunch,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
