item_id,venue_id,venue_name,item_name,description,price,price_raw,currency,source
864aed2cd9df0424-i0,864aed2cd9df0424,THE GOAT,Burger Paddle,"4 EPIC SLIDER BURGERS: Italian Stallion, Baconnaise, Run Chicken Run, The New Yorker.",299000,299K,IDR,https://thegoatbali.com/
864aed2cd9df0424-i1,864aed2cd9df0424,THE GOAT,Cocktail Paddle,"The Classic Cocktail Paddle: Pina Colada, Cosmo, Margarita, Strawberry Daiquiri.",299000,299K,IDR,https://thegoatbali.com/
864aed2cd9df0424-i2,864aed2cd9df0424,THE GOAT,Cake Cups,"ALL NEW CAKE CUPS made fresh daily. Flavors include Rainbow Cake, Lemon Meringue, Black Forest, Oreo Caramel, and Apple Crumble.",75000,75K,IDR,https://thegoatbali.com/
94b20e7dafe5eca2-i0,94b20e7dafe5eca2,FINNS Beach Club,Cocktails,Variety of classic and signature cocktails.,150000,"150,000 IDR",IDR,https://bestbeachclubsbali.com/round-ups/are-bali-beach-clubs-expensive/
94b20e7dafe5eca2-i1,94b20e7dafe5eca2,FINNS Beach Club,Beer,Selection of local and imported beers.,75000,"75,000 IDR",IDR,https://bestbeachclubsbali.com/round-ups/are-bali-beach-clubs-expensive/
94b20e7dafe5eca2-i2,94b20e7dafe5eca2,FINNS Beach Club,Tobacco,Smoking products available for purchase.,200000,"200,000 IDR",IDR,https://bestbeachclubsbali.com/round-ups/are-bali-beach-clubs-expensive/
63f17890fb9f84e9-i0,63f17890fb9f84e9,Kuta Nightlife,Denpasar Kuta Nightlife Tour,10 hours • Private group • Pickup available,,$53,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i1,63f17890fb9f84e9,Kuta Nightlife,Bali's Secret Comedy Night Entry Ticket,1 - 2 hours,,$12,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i2,63f17890fb9f84e9,Kuta Nightlife,Beer on Wheels Party Bus with Drink Packages,2 hours,,$59,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i3,63f17890fb9f84e9,Kuta Nightlife,Matcha Cocktail Masterclass By Chontea,1.5 hours • Small group,,$44,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i4,63f17890fb9f84e9,Kuta Nightlife,Phinisi Sunset Dinner Cruise with Entertainment,4 hours • Small group • Pickup available,,$56,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i5,63f17890fb9f84e9,Kuta Nightlife,Evening Walking Tour with Street Food Tasting,5 hours • Small group • Pickup available,,$35,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i6,63f17890fb9f84e9,Kuta Nightlife,Jimbaran Seafood Market Tour with Sunset Dinner,4 - 6 hours • Pickup available,,$18,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i7,63f17890fb9f84e9,Kuta Nightlife,2D1N Gili Island Private Snorkel Boat with Hotel,2 days • Private group • Pickup available,,$132,USD,https://www.getyourguide.com/seminyak-l95096/nightlife-bars-tc109/
63f17890fb9f84e9-i8,63f17890fb9f84e9,Kuta Nightlife,Party Bus Ride,"Cruise the Strip in a luxury party bus packed with lights, music, and room to dance. Includes free vodka, gin and mixers for the ride.",,Free,USD,https://www.getyourguide.com/las-vegas-l58/1-vegas-club-crawl-with-party-bus-free-drinks-vip-entry-t1064588
63f17890fb9f84e9-i9,63f17890fb9f84e9,Kuta Nightlife,1 Hour Open Bar,Enjoy unlimited vodka drinks while engaging in fun drinking games.,,Free,USD,https://www.getyourguide.com/las-vegas-l58/1-vegas-club-crawl-with-party-bus-free-drinks-vip-entry-t1064588
63f17890fb9f84e9-i10,63f17890fb9f84e9,Kuta Nightlife,VIP Entry,Entry to 3 venues with no cover charges.,,Free,USD,https://www.getyourguide.com/las-vegas-l58/1-vegas-club-crawl-with-party-bus-free-drinks-vip-entry-t1064588
fa787e8dd8187c16-i0,fa787e8dd8187c16,Sundays Beach Club,Child’s pass (ages 5–11),"including an IDR 250,000 F&B credit",400000,"IDR 400,000",IDR,https://www.stokedtotravel.com/spending-the-day-sundays-beach-club-bali/
fa787e8dd8187c16-i1,fa787e8dd8187c16,Sundays Beach Club,Sunset-only pass,for those who just want to catch the bonfire session without a full day pass.,500000,"IDR 500,000",IDR,https://www.stokedtotravel.com/spending-the-day-sundays-beach-club-bali/
497bbbaf383baecc-i0,497bbbaf383baecc,Bali Beach Club Pass,One Eighty Day Club,Complimentary Drink,,$15.00,USD,https://balibeachclubpass.com/
497bbbaf383baecc-i1,497bbbaf383baecc,Bali Beach Club Pass,Mrs Sippy,10% off Total Bill,,$15.00,USD,https://balibeachclubpass.com/
497bbbaf383baecc-i2,497bbbaf383baecc,Bali Beach Club Pass,Ku De Ta,Complimentary Drink No Minimum Spend,,$15.00,USD,https://balibeachclubpass.com/
497bbbaf383baecc-i3,497bbbaf383baecc,Bali Beach Club Pass,Atlas Beach Club,10% off Minimum Spend Complimentary Wine,,$15.00,USD,https://balibeachclubpass.com/
497bbbaf383baecc-i4,497bbbaf383baecc,Bali Beach Club Pass,Sunset Beach,10% off Total Bill,,$15.00,USD,https://balibeachclubpass.com/
497bbbaf383baecc-i5,497bbbaf383baecc,Bali Beach Club Pass,Tropical Temptation,Complimentary Sangria or Cocktails 10% off Total Bill,,$15.00,USD,https://balibeachclubpass.com/
