date_day,workstream,exact_action,target,asset_required,channel,owner,founder_hrs,contractor_hrs,cash,kpi_event,threshold,dependency,continue_iterate_kill,evidence_produced
Mon 20 Jul (D1),Field,Freeze perk shortlist: pick 10 of 91 Canggu venues with warm contacts; send 10 WhatsApp pitches (script M-1); book 5 visits,venue owners,M-1 script,WhatsApp,founder,3,0,0,pitches_sent,10 sent / >=5 replies by D3,none,<3 replies by D3 -> revise offer wording,reply-rate data
Mon 20 Jul (D1),Product,Start route rebuild: replace demo venues in 3 Canggu routes with real published venues,codebase,route migration,repo,founder+code,2,0,0,routes_fixed,3 routes on real venues by D6,venue catalogue (done),n/a,route pages live
Tue 21 Jul (D2),Field,Venue visits 1-3: sign perk terms (welcome drink / off-menu / priority seating); photograph consent forms,3 venues,perk terms 1-pager + consent log,in person,founder,4,0,0,perks_signed,>=2 of 3 signed,D1 replies,revise perk menu if 0/3,signed perk records
Tue 21 Jul (D2),Tracking,Implement optin_submitted + trip_dates_set events; UTM scheme per measurement spec,site,spec,repo,code,0,0,0,events_live,fire-tested by D4,spec (done),n/a,events in analytics
Wed 22 Jul (D3),Field,Venue visits 4-5 + brief staff on QR flow (M-4 20-sec script),2 venues,QR redemption demo,in person,founder,3,0,0,perks_signed,running total >=4,QR flow works,n/a,staff briefed list
Wed 22 Jul (D3),Partnerships,Send property pitches to 5 P1 accommodation prospects (Cabo / BaliSuperHost / Bukit Vista / Outpost / Solid Surf) via public contact routes (M-2),villa mgmt + camps,M-2 pitch + one-pager,web forms/WA,founder,2,0,0,pitches_sent,5 sent,none,<2 replies by D7 -> widen to P2 list,reply-rate data
Thu 23 Jul (D4),Product,Publish arrival-checklist page (S-task) + property landing variant with UTM capture,site,checklist copy,repo,code,1,0,0,page_live,live by D5,none,n/a,landing URL
Thu 23 Jul (D4),Field,Print run 1: 100 QR check-in cards + 20 car cards (OB-VIL / OB-DRV codes),partners,card design,print shop,founder,2,0,60,cards_printed,ready by D6,QR codes minted,n/a,physical assets
Fri 24 Jul (D5),Communities,Create personal accounts; answer 3 questions on TripAdvisor Bali forum + r/bali (zero links; M-9 tone),travellers,answer bank,forums,founder,1.5,0,0,answers_posted,3 posted,none,ongoing habit 3x/wk,credibility trail
Fri 24 Jul (D5),Analytics,Friday decision #1: reply-rates review; lock Week 2 targets,internal,dashboard,sheet,founder,0.5,0,0,review_done,decisions written,D1-D5 data,n/a,decision log entry
Sat 25 Jul (D6),Field,Deliver check-in cards to first 2 signed properties; train reception (M-5),properties,cards + M-5,in person,founder,2,0,0,touchpoints_live,2 properties live,D3 pitches accepted,n/a,live property codes
Sun 26 Jul (D7),Rest/Buffer,Buffer: catch-up on unsigned venues/properties,rollover,none,none,founder,1,0,0,n/a,n/a,n/a,n/a,n/a
Mon 27 Jul (D8),Partnerships,Driver micro-test: pitch Bali Nusa Transport + Get Driver Bali + Bali Midori (M-6) — in-car card with OB-DRV code,transfer operators,M-6 + car cards,WhatsApp,founder,1.5,0,0,pitches_sent,>=1 accepts by D10,cards printed,kill if 0 accepts by D14,driver channel data
Mon 27 Jul (D8),Creators,Outreach wave 1: Bali Buddies + Jonny Melon + @balifood (M-7; gifted/perk + qualified-action offer),creators,M-7 + media one-pager,email/DM,founder,1.5,0,0,outreach_sent,3 sent,perks live (needed for gifted offer),<1 reply by D14 -> next 5 targets,creator pipeline
Tue 28 Jul (D9),Field,Venue wave 2: pitch next 5 perk targets,venues,M-1,WhatsApp+visits,founder,3,0,0,perks_signed,running total >=6,D2-D6 learnings,n/a,perk count
Wed 29 Jul (D10),Gate,GATE G1 READINESS CHECK: UTM/QR live; routes real; >=8 perks? landing chain works?,internal,checklist,repo+field,founder,1,0,0,gate_pass,all four green,D1-D9,fail -> freeze outreach; fix product only,gate record
Thu 30 Jul (D11),Partnerships,Property wave 2: pitch 5 more P1/P2 prospects (Kima / WaveHouse / Tribal / Kos One / Shore Amora),accommodation,M-2,web/WA,founder,2,0,0,pitches_sent,cumulative >=10,G1 pass,n/a,pipeline sheet
Fri 31 Jul (D12),Analytics,Friday decision #2: first property-QR scans vs prearrival-link clicks; kill/keep touchpoint variants,internal,dashboard,sheet,founder,0.5,0,0,review_done,written decisions,live codes,n/a,decision log
Sat 1 Aug (D13),Communities,First value-post in 1 FB group after admin OK (M-10) — no links unless approved,Bali Bogans or similar,M-10,Facebook,founder,1,0,0,post_approved,1 admin-approved post,2 wks participation,admin declines -> stay value-only,community response data
Sun 2 Aug (D14),Product,Ship referral share copy (M-11) on trip-save flow,site,M-11 copy,repo,code,0.5,0,0,share_live,live,save flow,n/a,share events begin
W3 (3-9 Aug),All,Scale what answered: target 8 signed properties / 8 perks / 3 creators in talks; start co-branded villa guide pilot with 1 property,mixed,villa-guide template,mixed,founder,15,0,60,funnel_weekly,>=50 property-link clicks/wk,G1,weekly Friday rules,funnel baseline
W4 (10-16 Aug),Field+Analytics,Redemption push: staff re-briefs; first partner mini-reports (manual); fix drop-offs,venues+properties,report template,field,founder,12,0,0,redemptions,>=10 cumulative,perks live,threshold miss -> G2 fail path (narrow to Batu Bolong),first proof pack
W5 (17-23 Aug),Gate+Creators,GATE G2 FIELD-PROOF (D30). Creator content goes live (gifted visits); creator codes tracked,creators,live perks,IG/TikTok,founder,10,0,100,gate_pass + creator_clicks,G2 green; >=200 clicks/creator,G1+perks,fail -> stop creator wave 2,proof + creator CAC
W6 (24-30 Aug),Paid prep,G5 prep: pixel/CAPI redundant events on trip_save; domain verify; 3 landing variants; creative cut from proven organic angles,site+meta,landings+creatives,repo+Meta,founder+code,8,0,40,setup_done,QA green,G2 pass,n/a,paid-ready stack
W7 (31 Aug-6 Sep),Paid test,LAUNCH Meta capped test $500/14d AU-only per test brief (I); daily monitor,AU 25-45,3 angles x 2 formats,Meta,founder,8,0,250,cac_lead,save-rate >=8%; CAC-lead <=$12,GATE G5,kill rules in brief,paid benchmark data
W8 (7-13 Sep),Paid+Gate,Meta test second half + GATE G3 DEMAND (D45): channel ranking by opt-ins with dates + activations; WAVE 2 (UK) decision,internal,dashboard,mixed,founder,8,0,250,gate_pass,>=1 channel: 50 opt-ins+15 activations,W7 data,UK only if G3 green AND primary stable,channel ranking
W9 (14-20 Sep),Partnerships,Renew/extend properties (share their guest numbers); add 3-5 new properties; driver channel scale or kill,properties,partner mini-reports,field,founder,10,0,0,partners_active,>=8 active,G3,n/a,retention data
W10 (21-27 Sep),Density,GATE G4 DENSITY (D60): >=15 perks / routes / 20-30 activations; recruit first-100-fans cohort from active GuestRefs (G),users,fan invite M-12,email/WA,founder,8,0,50,fans_recruited,>=30 fans by W11,activation base,n/a,fan cohort list
W11 (28 Sep-4 Oct),Monetization,GATE G6: weekly partner reports 4+ wks; soft-pitch founding-partner status to 5-10 best venues (M-8) — honest co-funding not fictitious traffic,venues,M-8 + report pack,in person,founder,10,0,0,founding_interest,>=3 verbal yes,G2+G4 proof,no interest -> stay free + investigate value gap,pricing signal
W12 (5-11 Oct),Scale prep,Wave-2 prep IF G7 green (UK creators/communities shortlist activation); else double AU property loop; document playbook v1,mixed,playbooks (H),mixed,founder,8,0,0,playbook_done,playbook usable by a contractor,G7 decision,n/a,playbook doc
W13 (12-17 Oct),Wrap,Final dashboard; 90-day report; next-quarter recommendation; founding-partner conversions close,internal,report template,doc,founder,8,0,0,report_done,all gates dispositioned,all,n/a,90-day evidence report
