slug,name,category,area,district,verification,moments,best_for,onboard_link,whatsapp_en,whatsapp_ru
bebek-bengil,Bebek Bengil,restaurant,"Jl. Hanoman, Padang Tegal, Ubud",ubud,verified,"a family day, a late dinner, a midday reset",first taste of balinese crispy duck; rice-paddy garden dinner; groups sharing regional dishes; visitors near monkey forest,https://otherbali.com/onboard/{TOKEN},"Hi Bebek Bengil team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a family day / a late dinner / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Bebek Bengil 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: семейный день / поздний ужин / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
bossman-burgers,BO$$MAN,restaurant,Seminyak (Jl. Kayu Cendana),seminyak,verified,"a late dinner, a midday reset",late-night cravings; casual meat-forward meals; after a night out; quick group bite,https://otherbali.com/onboard/{TOKEN},"Hi BO$$MAN team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a late dinner / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда BO$$MAN 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: поздний ужин / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
kilig-bali,Kilig Bali,restaurant,"Ubud (Jl. Raya Goa Gajah, Peliatan)",ubud,verified,"a midday reset, a family day, a late dinner",filipino comfort food; calm rice-field setting; shared table meals; family dinner,https://otherbali.com/onboard/{TOKEN},"Hi Kilig Bali team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a family day / a late dinner to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Kilig Bali 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / семейный день / поздний ужин. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
nalu-bowls,Nalu Bowls,cafe,"Jl. Drupadi, Seminyak",seminyak,verified,"a slow morning, a midday reset",a fast healthy breakfast; a post-beach refuel; a light fruit-based bite on the go,https://otherbali.com/onboard/{TOKEN},"Hi Nalu Bowls team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Nalu Bowls 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
sayuri-healing-food,Sayuri Healing Food,cafe,Ubud (Peliatan),ubud,verified,"a midday reset, a work session, a slow morning",plant-based and raw eating; relaxed daytime meals; wellness-minded visitors; long cafe sits,https://otherbali.com/onboard/{TOKEN},"Hi Sayuri Healing Food team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a work session / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Sayuri Healing Food 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / рабочую сессию / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
sushimi-bali,Sushimi Bali,restaurant,Canggu (Berawa),canggu,verified,"a late dinner, a midday reset",casual sushi with friends; interactive sushi-train dining; solo diners; mixed dietary groups,https://otherbali.com/onboard/{TOKEN},"Hi Sushimi Bali team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a late dinner / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Sushimi Bali 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: поздний ужин / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
tukies-coconut-shop,Tukies Coconut Shop,cafe,"Jl. Monkey Forest, Ubud",ubud,verified,"a midday reset, a slow morning",a cooling coconut treat while walking ubud; vegan dessert; quick sweet break; fresh coconut drinks,https://otherbali.com/onboard/{TOKEN},"Hi Tukies Coconut Shop team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Tukies Coconut Shop 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
gusto-gelato,Gusto Gelato & Caffe,cafe,"Jl. Mertanadi, Kerobokan (Seminyak)",seminyak,partially-verified,"a midday reset, a family day, a slow morning",afternoon dessert stop; cooling off in the heat; family treat with kids; coffee-and-gelato pause,https://otherbali.com/onboard/{TOKEN},"Hi Gusto Gelato & Caffe team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a family day / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Gusto Gelato & Caffe 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / семейный день / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
warung-biah-biah,Warung Biah Biah,warung,Ubud (Jl. Gootama),ubud,partially-verified,"a midday reset, a slow morning",authentic Balinese food; budget local dining; nasi campur; a casual central Ubud meal,https://otherbali.com/onboard/{TOKEN},"Hi Warung Biah Biah team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Warung Biah Biah 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
alma-tapas-bar,Alma Tapas Bar,restaurant,"Jl. Pantai Berawa, Canggu (Berawa)",canggu,unverified,"a late dinner, a special occasion, a midday reset",shared plates with wine; casual date over tapas; small group grazing; unhurried evening in canggu,https://otherbali.com/onboard/{TOKEN},"Hi Alma Tapas Bar team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a late dinner / a special occasion / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Alma Tapas Bar 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: поздний ужин / особый повод / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
