segment,name,type,area_or_touchpoint,fit_or_moment,decision_maker,public_contact_route,evidence_url,notes_permission_cost,priority
accommodation,Cabo Bali,Villa management co.,Berawa / Pererenan / Batu Bolong / Echo Beach,Canggu-only manager; one deal covers many short-stay tourist villas,Founder / BD lead,Website contact form (cabobali.com),https://www.cabobali.com/canggu-villa-management,"2026 pricing + ""Best villa mgmt 2026"" blog live",P1
accommodation,Bukit Vista,Villa management co.,Canggu (+ island-wide),"206+ managed properties, 55k+ guests hosted; data-driven guest comms pre-arrival",BD / partnerships manager,Website contact/consultation form (bukitvista.com),https://www.bukitvista.com/area/canggu,"Active 2026 site, Canggu area page live",P1
accommodation,BaliSuperHost,Villa management co.,Canggu / Ubud / Seminyak,"Claims 569 managed villas; Canggu guests = nomads/surfers, exact guide audience",Founder / ops director,Website contact form (balisuperhost.com),https://balisuperhost.com/,2025–26 Canggu STR blog posts live,P1
accommodation,Elite Havens,Luxury villa mgmt co.,"Canggu (Villa Mana, Kakatua, Bendega etc.)",~300 staffed luxury villas; concierge teams already curate guest experiences,Concierge / guest experience manager,Website enquiry form (elitehavens.com),https://www.elitehavens.com/canggu-luxury-eh_best-holiday-villas/,2025–26 press releases on new Bali villas,P1
accommodation,Solar Property Bali,Villa management co.,Berawa / Batu Bolong / Echo Beach / Pererenan,Manages villas across all four target sub-areas,Founder / GM,Website contact form (solarpropertybali.com),https://solarpropertybali.com/areas/canggu/,Canggu area page maintained 2026,P2
accommodation,Gravity Bali,Villa management co.,Canggu / Seminyak / Uluwatu,"40+ exclusive villas, holiday-let guests",GM / marketing lead,Website contact form (gravitybali.com),https://gravitybali.com/en/,Live 2026 multilingual site,P2
accommodation,Nagisa Bali,Villa management co.,"Canggu / Berawa (Villa Emilia, Villa Uni, Athaya)","Since 2006, multiple Canggu villas; also runs transport/tours (guest touchpoints)",Villa mgmt division head,Website contact page + publicly listed office phone (nagisa-bali.com),https://www.nagisa-bali.com/,Canggu villa listings live 2026,P2
accommodation,Betterplace,Property/villa mgmt co.,Canggu incl. Berawa & Pererenan,Manages STR villas across Canggu sub-zones,BD manager,Website contact form (betterplace.cc),https://betterplace.cc/blog/best-property-management-companies-in-bali,2026-dated Bali mgmt guides published,P2
accommodation,Optimum Bali,Villa mgmt & rentals,Canggu portfolio,Established 2009; dedicated Canggu property page,GM,Website contact form (optimumbali.com),https://optimumbali.com/property_city/canggu/,Canggu listings page live 2026,P2
accommodation,Alex Villas Group,Villa mgmt / rentals,Canggu-Berawa,Holiday-rental villa portfolio with own booking site,Rental ops manager,Website booking/contact (rent.alexvillasgroup.com),https://rent.alexvillasgroup.com/,Live rental site 2026,P2
accommodation,Hotel Tugu Bali,Boutique hotel (5*),Batu Bolong / Echo Beach,Culture-focused guests who want curated local experiences,GM / guest experience manager,Public email + contact page on tuguhotels.com,https://tuguhotels.com/hotels/bali/,2026 Expedia/Hotels.com reviews,P2
accommodation,The Slow,Boutique hotel (12 rooms),Batu Bolong,Design/lifestyle travellers; heavy short-stay tourist mix,GM / owner,[NO DATA] (bookable via Booking.com),https://www.booking.com/hotel/id/the-slow.html,2026 rates & reviews live on Booking/Expedia,P2
accommodation,COMO Uma Canggu,Luxury resort (119 rooms),Echo Beach,"High guest volume; concierge culture — but corporate brand, slower to adopt",Concierge / experience manager,Website contact page (comohotels.com),https://www.comohotels.com/bali/como-uma-canggu,2026 Tripadvisor/Michelin Guide listings,P3
accommodation,Ametis Villa,"Boutique villa hotel (14 villas, adults-only)",Batu Bolong,Butler-service model = strong pre-arrival guest comms channel,Villa manager / head butler,Public email + phone on official site (ametisvilla.com),https://www.ametisvilla.com/,2026 Expedia reviews,P2
accommodation,Shore Amora,Lifestyle resort (20 villas + 12 suites),Pererenan,Adults-only tourist resort <100 m from Pererenan Beach,GM / guest relations,Public email + phone on shoreamora.com,https://shoreamora.com/,"Own ""What's new in Canggu"" journal (active), 2026 TA reviews",P1
