canonical_intent_id,canonical_name,internal_key,job_slug,data_readiness,intent_clarity,browser_completion,second_job_strength,repeatability_or_history,serp_opportunity,unique_utility,safety_compliance,maintenance_cost,total_score,browser_completable,portable_result,requires_registration,scoring_basis,created_at,generator,source_version
OB-CAN-0011,Choose a romantic dinner in Ubud,date-night,date_night_special,READY,20,15,17,10,9,9,10,5,95,true,true,false,clarity=20 all-strong & conf>=90; browser=15 readiness=READY; second_job=17 children=2 support=PARTIAL; repeat=10 key=date-night; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0007,Find breakfast open before 7 AM,brunch,brunch_after_surf,READY_WITH_LIMITED_DISTRICTS,18,12,20,10,6,9,8,5,88,true,true,false,clarity=18 all-strong & conf>=85; browser=12 readiness=READY_WITH_LIMITED_DISTRICTS; second_job=20 children=3 support=MATCHED; repeat=10 key=brunch; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=8 risk=OPERATIONAL; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0018,Find laptop-friendly cafe with power outlets and fast Wi-Fi,work-session,quiet_work_cafe,READY,20,15,10,10,5,9,10,5,84,true,true,false,clarity=20 all-strong & conf>=90; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=work-session; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0004,Sleep near airport before/after red-eye flight,just-landed,just_landed_easy_dinner,READY,20,15,10,10,0,9,10,5,79,true,true,false,clarity=20 all-strong & conf>=90; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=just-landed; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0019,"Buy a coworking day pass (drop-in, no membership)",work-session,quiet_work_cafe,READY,18,15,14,10,0,9,8,5,79,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=14 children=1 support=PARTIAL; repeat=10 key=work-session; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=8 risk=OPERATIONAL; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0001,Find where to go on arrival day when jet-lagged,just-landed,just_landed_easy_dinner,READY,18,15,10,10,0,9,10,5,77,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=just-landed; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0005,Kill 3–6 hours near airport before flight,just-landed,just_landed_easy_dinner,READY,18,15,10,10,0,9,10,5,77,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=just-landed; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0017,Find quiet cafe suitable for Zoom / video calls,work-session,quiet_work_cafe,READY,18,15,10,10,0,9,10,5,77,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=work-session; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0020,Choose a sunset dinner in Uluwatu,sunset,sunset_drinks_view,READY,20,15,8,10,0,9,10,5,77,true,true,false,clarity=20 all-strong & conf>=90; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=sunset; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0149,Find authentic local restaurants (not tourist),local-food,local_food_calm,READY,18,15,10,10,0,9,10,5,77,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=local-food; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.456Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0012,Choose a special-occasion / birthday dinner,special-occasion,special_occasion,READY,18,15,16,3,0,9,10,5,76,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=16 children=1 support=MATCHED; repeat=3 key=special-occasion; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0026,Find family cafe / restaurant with kids' play area,family-outing,family_early_dinner,READY,18,15,19,5,0,7,10,2,76,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=19 children=2 support=MATCHED; repeat=5 key=family-outing; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=7; safety=10 risk=LOW; maint=2 new projection,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0031,Find a private / secluded spot to propose,special-occasion,special_occasion,READY,18,15,16,3,0,9,10,5,76,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=16 children=1 support=MATCHED; repeat=3 key=special-occasion; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0021,Find a quiet sunset spot away from big beach clubs,sunset,sunset_drinks_view,READY,18,15,8,10,0,9,10,5,75,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=sunset; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0022,Find sunset spot with sunset happy-hour cocktails,sunset,sunset_drinks_view,READY,16,15,10,10,0,9,10,5,75,true,true,false,clarity=16 all-strong; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=sunset; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0030,Have a private-chef in-villa dinner for two,date-night,date_night_special,READY,18,15,8,10,0,9,10,5,75,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=date-night; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0034,Find social coworking to meet people as a solo nomad,work-session,quiet_work_cafe,READY,18,15,8,10,0,9,10,5,75,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=work-session; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.456Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0055,Find warungs where locals actually eat (cheap authentic),local-food,local_food_calm,READY,20,15,8,10,0,9,8,5,75,true,true,false,clarity=20 all-strong & conf>=90; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=local-food; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=8 risk=OPERATIONAL; maint=5 reuses existing key,2026-07-29T18:56:10.456Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0002,Choose first-night dinner near landing area,just-landed,just_landed_easy_dinner,READY,16,15,8,10,0,9,10,5,73,true,true,false,clarity=16 all-strong; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=10 key=just-landed; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0113,Photograph moon above airport runway (4-5 AM),just-landed,just_landed_easy_dinner,READY,10,15,10,10,0,9,10,5,69,true,true,false,clarity=10 contains moderate evidence; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=10 key=just-landed; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.456Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0032,Hire a proposal / engagement photographer in Bali,special-occasion,special_occasion,READY,16,15,10,3,0,9,10,5,68,true,true,false,clarity=16 all-strong; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=3 key=special-occasion; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0036,Find a big party villa for a bachelorette / birthday group,special-occasion,special_occasion,READY,18,15,8,3,0,9,10,5,68,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=3 key=special-occasion; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=9; safety=10 risk=LOW; maint=5 reuses existing key,2026-07-29T18:56:10.456Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0028,Spend a day at Waterbom Bali with kids,family-outing,family_early_dinner,READY,18,15,10,5,0,7,10,2,67,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=10 children=0 support=MATCHED; repeat=5 key=family-outing; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=7; safety=10 risk=LOW; maint=2 new projection,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0027,Choose Canggu vs Sanur for first trip with young kids,family-outing,family_early_dinner,READY,18,15,8,5,0,7,10,2,65,true,true,false,clarity=18 all-strong & conf>=85; browser=15 readiness=READY; second_job=8 children=0 support=PARTIAL; repeat=5 key=family-outing; serp=0 pending Stage 8 (unknown_search_volume: UNKNOWN); unique=7; safety=10 risk=LOW; maint=2 new projection,2026-07-29T18:56:10.455Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
