internal_intent_id,exact_source_path,source_type,current_user_job,current_product_surface,supporting_venue_data_fields,data_support,implementation_status,duplicate_conflict_candidates,unsupported_claims_or_missing_fields,can_reuse_existing_engine,owner_decision_required,evidence_excerpt_or_code_reference
INTENT_EXPLORE_CATALOGUE,app/places/page.tsx;app/places/PlacesView.tsx,route/UI,Compare published places by district type moment and text,/places,slug name category district area jobs vibe_tags practical_tags why_its_here best_for photo_url publication_status,PARTIAL,LIVE,INTENT_MOMENT_FILTER;INTENT_DISTRICT_BROWSE;INTENT_SEARCH_BRIEF,No live row counts or completeness proof,Yes existing getPublishedVenues + catalogueHaystack,No,"PlacesPage filters published venues; PlacesView exposes Search, Moment and Type chips"
INTENT_TODAY_DECISION,app/my-day/page.tsx;lib/day-builder.ts,route/UI,Make a practical shortlist for the current day,/my-day,area group vibe budget finish plus collection membership and publication gate,PARTIAL,LIVE,INTENT_PLAN_FUTURE;INTENT_COLLECTION_MOMENT;INTENT_TRIP_MISSION,No exact support for every area/slot is live-verified,Yes buildArc + getCollectionSampleInArea,No,"My Day is URL-driven and fills morning/midday/golden/dinner slots from collections"
INTENT_PLAN_FUTURE,app/plan/page.tsx;app/PlanView.tsx;lib/data.ts,route/UI,Plan a future trip with itineraries and routes,/plan,route records plan_entries venues district slot rank blurb,PARTIAL,LIVE,INTENT_TODAY_DECISION;INTENT_ROUTE_BROWSE,Claims published route data but current DB rows not live-verified,Yes getRoutes + PlanView,No,"Plan page labels itself Future trip planning and separates Today"
INTENT_SEARCH_BRIEF,app/places/page.tsx;app/places/PlacesView.tsx,code/UI,Search a place by name area vibe or editorial text,/places?q=...,query haystack fields name address area category district whyItsHere bestFor vibeTags practicalTags jobs,PARTIAL,LIVE,INTENT_EXPLORE_CATALOGUE;INTENT_TRIP_MISSION,Substring matching is not semantic intent understanding,Yes catalogueHaystack + matchesBrief,No,"q tokens are matched with every token unless intent=1"
INTENT_FILTER_DISTRICT_CATEGORY,app/places/page.tsx;app/places/PlacesView.tsx,code/UI,Constrain choices to a district or venue type,/places?district=&category=,district category wellnessCategories,PARTIAL,LIVE,INTENT_EXPLORE_CATALOGUE;SEO_DISTRICT_HUB,No full current category/district inventory,Yes existing filter and canonical logic,No,"matchesBrief applies district and category gates"
INTENT_CATALOGUE_MOMENT,lib/catalogue-moments.ts;app/places/page.tsx,code/data/UI,Find a place for a time-of-day or situation moment,/places?moment=,jobs vibe_tags why_its_here best_for plus haystack tokens,PARTIAL,LIVE,INTENT_PLAN_MOMENT;INTENT_SEO_SPOKE,Token bundles can create false positives and vocabulary drift,Yes MOMENT_BY_SLUG + catalogueHaystack,Yes,"Nine catalogue moments are defined; matching is honest any-match over existing fields"
INTENT_PLAN_MOMENT,lib/moments.ts;app/PlanView.tsx,code/UI,Choose a predefined day moment and filter plan slots,/plan?m= or PlanView state,slots categories jobs on PlanBySlot venues,PARTIAL,LIVE,INTENT_CATALOGUE_MOMENT;INTENT_TODAY_DECISION,Uses category fallback when jobs are missing; not same as catalogue moments,Yes getMoment + venueFitsMoment,Yes,"MOMENTS is a separate static config with verified/hypothesis evidence"
INTENT_TRIP_MISSION,lib/trip-missions.ts;app/places/page.tsx;lib/scenarios.ts,code/route/UI,Choose a trip-level framing such as first-time workation retreat romantic,/places?m=,query category district scenarioSlug plus venue haystack,PARTIAL,PARTIAL,INTENT_SCENARIO_PAGE;INTENT_SEARCH_BRIEF,Several scenarioSlug references are not present in SCENARIOS,Yes getTripMission then existing /places filters,Yes,"Trip missions are buttons to predefined content, not a chatbot"
INTENT_TRIP_DURATION,lib/trip-missions.ts;app/places/page.tsx,code/UI,Choose today weekend week or month planning horizon,/places?dur=,duration query nudge only,PARTIAL,PARTIAL,INTENT_PLAN_FUTURE;INTENT_TRIP_MISSION,Duration is parsed and labeled but no visible filtering logic was confirmed in PlacesPage excerpt,Partial,Yes,"TRIP_DURATIONS is first-class config; month/living add query nudges"
INTENT_SCENARIO_EDITORIAL,lib/scenarios.ts;app/{scenario-slug}/page.tsx;app/sitemap.ts,docs/route/UI,Understand a trip situation then hand off to live picks,Scenario pages,mission query category plus live /places results,PARTIAL,LIVE/PARTIAL,INTENT_TRIP_MISSION;INTENT_COLLECTION_MOMENT,Some mission scenario slugs are missing,Yes scenarioBriefHref -> /places,Yes,"Scenario pages are editorial and hand off to the same shortlist engine"
INTENT_COLLECTION_TASTE,lib/collections.ts;app/collections/page.tsx;app/collections/[taste]/page.tsx,route/UI,Browse an island-wide cuisine/theme shortlist,/collections/{taste},name whatToOrder vibeTags category district and publication gate,PARTIAL,LIVE,INTENT_EXPLORE_CATALOGUE;INTENT_CATALOGUE_MOMENT,Membership rules are field heuristics and row support is not live-verified,Yes getCollectionAreas + liveCollectionSlugs,No,"Taste collections use factual fields and require 10 venues across 3 districts"
INTENT_COLLECTION_MOMENT,lib/collections.ts;app/collections/[taste]/page.tsx,route/UI,Browse a moment-based shortlist such as date night or work-friendly,/collections/{taste},jobs price_anchor district publication fields,PARTIAL,LIVE,INTENT_PLAN_MOMENT;INTENT_CATALOGUE_MOMENT,Duplicate names and different matching rules,Yes existing collection matcher and gate,Yes,"Moment collections read tagged jobs; budget collections read price bands"
INTENT_ROUTE_BROWSE,app/plan/page.tsx;app/route/[slug]/page.tsx;lib/data.ts,route/UI,Open a ready-made ordered day route,/route/{slug},routes route stops district venue slugs,PARTIAL,LIVE,INTENT_PLAN_FUTURE;INTENT_ADD_TO_TRIP,Current route rows not verified live,Yes getRoutes and existing route detail,No,"Plan renders Bali-wide and Canggu practical routes"
INTENT_VENUE_DECISION_DETAIL,app/places/[slug]/page.tsx;lib/data.ts,route/UI,Decide whether a specific place fits and take an action,/places/{slug},identity editorial quick-decision fields publication photo links actions menus,PARTIAL,LIVE,INTENT_EXPLORE_CATALOGUE;INTENT_SAVE_PLACE,Claims freshness only where lastVerifiedAt exists,Yes getVenueWithPerk + quickDecisionRows,No,"Detail page uses publication gate, quick decision rows, similar places and action bar"
INTENT_SAVE_PLACE,components/SaveButton.tsx;supabase/migrations/0019_saved_places_and_sharing.sql,UI/schema,Keep a place for later,/api/save;My Bali,guest_ref venue_slug saved_places,PARTIAL,LIVE,INTENT_ADD_TO_TRIP;INTENT_SHARE_TRIP,Current production grants/API behavior not live-verified,Yes existing save API/RPC,Yes,"SaveButton posts /api/save and tracks save"
INTENT_ADD_TO_TRIP,components/AddToTripButton.tsx;lib/trip.ts;supabase/migrations/0056_saved_place_trip_extension.sql,UI/schema,Place a venue on a numbered trip day,/api/trip,guest_ref venue_slug day_number position,PARTIAL,LIVE/PARTIAL,INTENT_SAVE_PLACE;INTENT_ROUTE_BROWSE,Migration 0056 revokes public grants; runtime route proof missing,Yes upsert_trip_place and existing trip parser,Yes,"Button sends PUT /api/trip with venueSlug and day"
INTENT_SHARE_TRIP,supabase/migrations/0019_saved_places_and_sharing.sql;0056_saved_place_trip_extension.sql, schema/API,Share a saved list or ordered trip,Shared list/trip URLs,shared_lists venue_slugs trip_entries guest_ref,PARTIAL,PARTIAL,INTENT_SAVE_PLACE;INTENT_ADD_TO_TRIP,No UI route/source was confirmed in inspected files for all RPCs,Partial,Yes,"create_shared_trip and shared_list_trip are defined in migration 0056"
INTENT_PARTNER_SUBMIT,app/for-venues/page.tsx;app/list-your-property/page.tsx;app/partner/*,route/UI,Venue owner adds claims media or property data,for-venues/list-your-property/partner,submissions profile drafts owner fields media consent claim tokens,PARTIAL,LIVE,INTENT_VENUE_DECISION_DETAIL,Partner workflow is separate from tourist intent taxonomy,Yes existing submission/onboarding routes,No,"Sitemap comments identify venue self-submission and property intake"
INTENT_REDEMPTION_PROOF,app/v/[venue]/redeem/page.tsx;supabase/migrations/0001_init.sql,route/schema,Guest redeems a confirmed venue offer,/v/{venue}/redeem,perks guest_refs consent_log redemption_events venue_slug,PARTIAL,LIVE_FOR_GATED_LAYER,INTENT_VENUE_DECISION_DETAIL,Only deep/offer-ready venues should carry this claim,Yes existing redemption RPC and perk layer,Yes,"Initial schema separates planning layer from redemption proof"
INTENT_SEO_SPOKE,lib/intents.ts;app/bali/[district]/[intent]/page.tsx;app/sitemap.ts,route/code/data,Find best places for a job/moment in a district,/bali/{district}/{intent},venues.jobs district publication editorial fields,PARTIAL,LIVE,INTENT_CATALOGUE_MOMENT;INTENT_COLLECTION_MOMENT,Intent registry is shadow and current row-level job coverage unknown,Yes getIntentSpokes + normalizeJobs,Yes,"INTENTS maps URL slugs to canonical jobs values"
INTENT_SEO_DISTRICT_HUB,app/bali/[district]/page.tsx;lib/data.ts;app/sitemap.ts,route/code,Explore a district's curated guide,/bali/{district},districts venues editorial guide status,PARTIAL,LIVE,INTENT_FILTER_DISTRICT_CATEGORY,Planning-only versus active-depth behavior needs live DB status,Yes getDistrictHubs + district guide,No,"Sitemap treats district hubs as programmatic ranking surfaces"
INTENT_MOBILE_SAVED_GUIDE,mobile/src/App.tsx;mobile/src/storage.ts,UI/code,Use places/routes/saved guide on device including offline summaries,mobile surfaces places routes saved,local storage snapshots venue/route IDs,PARTIAL,LIVE/PARTIAL,INTENT_SAVE_PLACE;INTENT_ROUTE_BROWSE,Mobile and web save semantics are separate evidence domains,Yes existing mobile storage/bootstrap,Yes,"Mobile surface explicitly has places, routes and saved tabs"
