conflict_id,concept_or_surface_a,source_a,concept_or_surface_b,source_b,conflict_type,evidence,impact,owner_decision_required,recommended_resolution
CONFLICT_001,date-night,lib/intents.ts:27-33,date-night,lib/catalogue-moments.ts:39-43,duplicate vocabulary,SEO job date_night_special vs token bundle date night/date_night/romantic/couples,Same user job can produce different membership,Yes,Choose canonical ID and adapters
CONFLICT_002,special-occasion,lib/intents.ts:59-65,special-occasion,lib/collections.ts:244-258,duplicate vocabulary,SEO intent and moment collection share slug/label but different engines,Possible SEO and collection drift,Yes,Canonical special_occasion ID with route aliases
CONFLICT_003,sunset,lib/intents.ts:35-41,golden-hour,lib/catalogue-moments.ts:15-17,semantic overlap,SEO sunset_drinks_view versus catalogue tokens sunset/golden,Ranking and label mismatch,Yes,Define sunset canonical intent and aliases
CONFLICT_004,work-cafe,lib/intents.ts:67-73,work-session,lib/moments.ts:37-46,semantic overlap,quiet_work_cafe versus jobs work and different Plan labels,Two product vocabularies for same work need,Yes,Merge under work-friendly intent with evidence state
CONFLICT_005,family,lib/intents.ts:43-49,family-day,lib/moments.ts:88-96,semantic overlap,family_early_dinner versus jobs family,Potential inconsistent family coverage,Yes,Canonical family-easy intent
CONFLICT_006,local-food,lib/intents.ts:75-81,local-and-calm,lib/collections.ts:295-308,semantic overlap,local_food_calm job versus collection slug local-and-calm,Duplicate shortlists can diverge,Yes,Keep one canonical local-calm ID
CONFLICT_007,TripMission scenarioSlug,lib/trip-missions.ts:23-84,SCENARIOS,lib/scenarios.ts:32-169,broken reference,slow-living-bali/family-bali/bali-night-out/bali-rainy-day are referenced but absent from SCENARIOS,Dead or future route links,Yes,Mark deprecated or create approved source-backed scenario entries
CONFLICT_008,Plan moments,lib/moments.ts;app/PlanView.tsx,Catalogue moments,lib/catalogue-moments.ts;app/places/page.tsx,different matcher,Plan uses venueFitsMoment with jobs then category fallback; catalogue uses substring any-match haystack,Same label can yield different venue sets,Yes,One matcher contract or explicit layer names
CONFLICT_009,Trip missions,lib/trip-missions.ts,SEO intent registry,docs/seo/os/intent-registry.json;lib/intents.ts,different level,missions are trip-level; SEO intents are district/job-level,Can be separate but no parent-child relation,Yes,Define hierarchy rather than merge blindly
CONFLICT_010,Today,app/my-day/page.tsx,Plan,app/plan/page.tsx,product boundary,Today is current-day decision; Plan is future planning,No issue if boundary is governed; overlap in collections/routes,Yes,Confirm permanent separation and navigation ownership
CONFLICT_011,Save,components/SaveButton.tsx;0019_saved_places_and_sharing.sql,Add to trip,components/AddToTripButton.tsx;0056_saved_place_trip_extension.sql,workflow overlap,Add-to-trip persists in saved_places but save UI and trip UI expose separate jobs,User may expect one saved state,Yes,Document one shared saved-trip engine
CONFLICT_012,Web saved places,0019/0056 migrations,Mobile saved guide,mobile/src/storage.ts,storage split,Web uses guest_ref/RPCs; mobile uses device local storage/snapshots,Inconsistent cross-device expectations,Yes,Decide whether sync is intended or explicitly separate
CONFLICT_013,Collections live gate,lib/collections.ts,SEO sitemap,app/sitemap.ts,gate coupling,Collections only enter sitemap after 10 venues across 3 districts,Correct safety but no audit-facing status registry,No owner decision if intended,Expose gate state in audit registry
CONFLICT_014,Venue detail publication,app/places/[slug]/page.tsx,Venue sitemap,app/sitemap.ts,publication coupling,both use isVenueIndexable/publication gate,Potential mismatch if metadata path and sitemap read different fallback states,No,Keep shared helper and runtime test
CONFLICT_015,Intent registry,docs/seo/os/intent-registry.json,live route implementations,lib/intents.ts;app/bali/[district]/[intent]/page.tsx,shadow governance,Most registry entries have intent_id null and shadow_unreviewed,No operational owner/control,Yes,Populate governance IDs or explicitly retire shadow registry
