slug,district,category,why_its_here,best_for,not_for,price_anchor,last_verified_at
bokashi-bali-pererenan,canggu,restaurant,Restaurant on Jalan Pantai Pererenan No.159 in Canggu.,Travellers who want to check availability and reserve a table through Chope.,,,2026-07-30
hip-hop-soul-restaurant,canggu,restaurant,Restaurant on Jalan Raya Canggu.,Travellers who want to check availability and reserve a table through Chope.,,,2026-07-30
honeycomb-bali,canggu,cafe,Cafe on Jalan Raya Canggu.,Travellers who want to check availability and reserve a table through Chope.,,,2026-07-30
jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,canggu,restaurant,"Restaurant on Jl. Munduk Kedungu No.55s in Canggu, open daily 7:00am-11:00pm.",Travellers looking for a current place to eat in Canggu; Pererenan.,,,2026-07-28
kedai-tepi-kali-and-bar-at-tapa-tepi-kali-canggu,canggu,restaurant,"Restaurant on Jl. Canggu Padang Linjong, open daily 7:00am-11:00pm.",Travellers looking for a current place to eat in Canggu.,,,2026-07-28
khao-canggu,canggu,restaurant,"Restaurant on Jl. Pantai Batu Mejan in Canggu, open daily 10:00am-11:00pm.",Travellers looking for a current place to eat in Canggu.,,,2026-07-28
kong-contemporary-bistro,canggu,restaurant,"Restaurant on Jl. Pantai Berawa No.14b in Canggu, open daily 11:00am-12:00am.",Travellers looking for a current place to eat in Canggu; Berawa.,,,2026-07-28
milano,canggu,restaurant,"Restaurant on Jl. Pantai Berawa in Canggu, open daily 7:00am-1:00am.",Travellers looking for a current place to eat in Canggu; Berawa.,,,2026-07-28
one-eyed-jack,canggu,restaurant,"Restaurant on Jl. Pantai Berawa No.c89 in Canggu, open daily 3:00-11:00pm.",Travellers looking for a current place to eat in Canggu; Berawa.,,,2026-08-04
rasa-kitchen,canggu,restaurant,"Restaurant on Jl. Canggu Padang Linjong No.80A, open daily 10:00am-11:00pm.",Travellers looking for a current place to eat in Canggu.,,,2026-07-28
samm-s-farm,canggu,restaurant,"Restaurant on Jl. Canggu Padang Linjong No.58, open daily 8:30am-10:00pm.",Travellers looking for a current place to eat in Canggu.,,,2026-07-28
turntable-canggu-steakhouse,canggu,restaurant,"Restaurant on Jl. Raya Babakan Canggu No.51, open daily 7:00am-11:00pm.",Travellers looking for a current place to eat in Canggu.,,,2026-07-28
