canonical_intent_id,canonical_name,user_job_statement,domain,source_record_ids,aliases,child_scenarios,allowed_modifiers,required_venue_capabilities,required_data_fields,publication_risk,demand_evidence_status,answer_evidence_requirement,internal_support_status,recommended_surfaces,single_job_candidate,data_readiness,lifecycle_status,auto_decision_reason,created_at,generator,source_version
OB-CAN-0001,Find where to go on arrival day when jet-lagged,"As a traveller in Bali, I want to find where to go on arrival day when jet-lagged.",Arrival and first day,OB-INT-0001,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: just_landed_easy_dinner READY in 8 districts, 30 published venues",2026-07-29T18:55:01.731Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0002,Choose first-night dinner near landing area,"As a traveller in Bali, I want to choose first-night dinner near landing area.",Arrival and first day,OB-INT-0002,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: just_landed_easy_dinner READY in 8 districts, 30 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0003,Handle Visa-on-Arrival + cash on landing,"As a traveller in Bali, I want to handle Visa-on-Arrival + cash on landing.",Arrival and first day,OB-INT-0003,,,,,authoritative_source;reviewed_by;reviewed_at,LEGAL_REGULATORY,EVIDENCE_STRONG,AUTHORITATIVE_SOURCE_REQUIRED,UNMATCHED_EXTERNAL,NO_BUILD,false,HIGH_RISK_NOT_READY,RESEARCH_ONLY,risk_class=LEGAL_REGULATORY: 04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy sets auto_build_allowed=false and publication_status=RESEARCH_ONLY for SAFETY/MEDICAL/LEGAL_REGULATORY,2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0004,Sleep near airport before/after red-eye flight,"As a traveller in Bali, I want to sleep near airport before/after red-eye flight.",Airport and departure,OB-INT-0004,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: just_landed_easy_dinner READY in 8 districts, 30 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0005,Kill 3–6 hours near airport before flight,"As a traveller in Bali, I want to kill 3–6 hours near airport before flight.",Airport and departure,OB-INT-0005,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: just_landed_easy_dinner READY in 8 districts, 30 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0006,Have a proper last-day meal before evening flight,"As a traveller in Bali, I want to have a proper last-day meal before evening flight.",Airport and departure,OB-INT-0006,,,late-dinner,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key late-dinner); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0007,Find breakfast open before 7 AM,"As a traveller in Bali, I want to find breakfast open before 7 AM.",Breakfast,OB-INT-0007;OB-INT-0008;OB-INT-0009;OB-INT-0010,Find brunch in Canggu with strong coffee and eggs;Find Ubud breakfast spot with rice-field or nature view;Find breakfast in Sanur that isn't the hotel buffet,OB-INT-0008;OB-INT-0009;OB-INT-0010,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,OPERATIONAL,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY_WITH_LIMITED_DISTRICTS,ACTIVE,"live snapshot: brunch_after_surf READY in 4 district(s) [canggu|seminyak|ubud|uluwatu-bukit], 76 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0008,"Grab a quick, cheap lunch mid-day between activities","As a traveller in Bali, I want to grab a quick, cheap lunch mid-day between activities.",Lunch,OB-INT-0011,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,OPERATIONAL,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key midday-reset); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0009,Have a lunch with a view (rice field / cliff / ocean),"As a traveller in Bali, I want to have a lunch with a view (rice field / cliff / ocean).",Lunch,OB-INT-0012,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key midday-reset); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0010,Order food to villa via Grab/Gojek when tired,"As a traveller in Bali, I want to order food to villa via Grab/Gojek when tired.",Lunch,OB-INT-0013,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,OPERATIONAL,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key midday-reset); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
