venue_id,name,normalized_name,primary_category,island,area,discovery_areas,address,latitude,longitude,location_source,phone,whatsapp,email,website,instagram,opening_hours,home_service,facilities,online_booking_available,booking_url,booking_provider,whatsapp_booking,service_count,priced_service_count,duration_service_count,primary_source_url,evidence_count,date_crawled,last_verified,status,confidence_score,marketplace_readiness,missing_fields,duplicates_merged,needs_manual_review,publish_ready,booking_ready,service_data_ready,price_data_ready,merchant_opportunity
obs-f0218b9e95,Spring Spa,spring spa,day_spa,Bali,Canggu,"Canggu,Gianyar,Kerobokan,Pererenan,Seminyak,Uluwatu",,,,,,,,https://springspa.com,,,,,true,https://www.springspa.com/book-an-appointment,website_form,,9,0,0,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,PARTIAL,65,45,"address,phone,opening_hours,prices",0,,true,,true,,
obs-c1f3a33e65,Svaha Spa Seminyak,svaha spa seminyak,day_spa,Bali,Seminyak,"Berawa,Sanur,Uluwatu",,,,,6281237339353,6281237339353,,https://svahawellness.com,,,,,true,https://booking.sinivieresort.com/en/spa?hotel=SVVS,whatsapp,true,19,0,0,https://svahawellness.com/svahaspaseminyak/treatment,4,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,PARTIAL,75,55,"address,opening_hours,prices",0,,true,,true,,
obs-7d8476bc95,Four Seasons Spa,four seasons spa,day_spa,Bali,Ubud,"Jimbaran,Ubud","Ubud, Bali",,,page_text,623612016000,,,https://fourseasons.com,,Daily 9:00 am – 9:00 pm,,"sauna,steam_room,jacuzzi",true,https://fswlv91362.na.book4time.com/OnlineBooking/SpaMenu.aspx,unknown,,24,0,24,https://www.fourseasons.com/westlakevillage/spa/facial_treatments,4,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,PARTIAL,80,70,prices,0,,true,,true,,
obs-dbd43cd5b1,Nikara Spa Berawa,nikara spa berawa,wellness_spa,Bali,Canggu,"Berawa,Pererenan","Jl. Pemelisan Agung, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",,,page_text,628116016006,,info@nikaraspa.com,https://nikaraspa.com,,11:00 AM – 10:00 PM (Daily),,"private_room,shower",true,https://www.nikaraspa.com/booking/,website_form,,14,7,9,https://www.nikaraspa.com/nikara-spa-berawa-price,2,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,VERIFIED,100,100,,0,,true,true,true,true,
obs-ad418782ce,Ambiente Spa & Wellness – Rama Residence Seminyak,ambiente spa wellness rama residence seminyak,wellness_spa,Bali,Seminyak,"Candidasa,Jimbaran,Legian",,,,,,,,https://ambientespabali.com,,Daily 10 AM to 1 PM,,,,,unknown,,0,0,0,https://www.ambientespabali.com/special_offer/midday-bliss-at-ambiente-spa-wellness-rama-residence-seminyak,1,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,REVIEW,25,5,"address,phone,booking_url,services,prices",0,true,true,,,,
obs-5aa0145e7f,Taman Air Spa,taman air spa,wellness_spa,Bali,Kuta,Kuta,"Jalan Sunset Road No. 88 Kuta, Bali – Indonesia",,,page_text,623618947300,628113895558,info@tamanairspa.com,https://tamanairspa.com,https://www.instagram.com/tamanairspa/,Everyday : 09:00 am - 10:00 pm,,private_room,true,https://wa.me/628113882224,unknown,true,17,11,14,https://tamanairspa.com/taman-air-spa-price-list,2,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,VERIFIED,90,90,,0,,true,true,true,true,
obs-aa7c1d3452,Jimbaran Puri Spa,jimbaran puri spa,spa,Bali,Bali,Jimbaran,,,,,,,,https://belmond.com,,,,,,,unknown,,37,19,37,https://www.belmond.com/en/hotels/asia/indonesia/jimbaran-puri-bali/wellness?srsltid=AfmBOor2D9uIgoVdKJpOpU0RIX6r9-DCv5JrA-3KAEKFIPywRXvNk1UC,2,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,PARTIAL,45,55,"address,phone,opening_hours,booking_url",0,,true,,true,true,true
obs-82c92aef18,Santhika Retreat Center,santhika retreat center,wellness_spa,Bali,"Lovina Beach, Buleleng District, Bali",Lovina,,,,,6285738408200,6285738408200,,https://santhikaretreatcenter.com,https://www.instagram.com/santhikaretreatcenter,,,private_room,true,https://www.santhikaretreatcenter.com/spa-booking,website_form,true,66,28,53,https://www.santhikaretreatcenter.com/spa-bali?srsltid=AfmBOoqAFKqsR1J8jfOY3rldkJKNQgO2DSZ3v2RlJeLQiwB2ubQrHL-Y,2,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,VERIFIED,85,90,"address,opening_hours",0,,true,true,true,true,
obs-65b3c39d43,Munduk Moding Plantation,munduk moding plantation,wellness_spa,Bali,North Bali,Munduk,,,,,,6281138101230,,https://mundukmodingplantation.com,,,,,,,unknown,true,3,0,0,https://mundukmodingplantation.com/spa-wellness,1,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,PARTIAL,45,30,"address,phone,opening_hours,booking_url,prices",0,,true,,true,,
obs-0cb50840c7,Hesa Wellness Spa,hesa wellness spa,day_spa,Bali,Ubud,Ubud,"Jalan Sandat, Ubud",,,page_text,6287836002121,6287836002121,,https://hesaspa.com,,Daily 7 AM - 9 PM,,"plunge_pools,steam_room",true,https://hesaspa.com/book,website_form,true,13,13,13,https://hesaspa.com/,3,2026-08-25T06:22:51+00:00,2026-08-25T06:22:51+00:00,VERIFIED,100,100,,1,,true,true,true,true,
