source_record_id,alias_or_modifier,register_type,parent_source_record_id,risk_class,auto_decision_reason,created_at,generator,source_version
OB-INT-0008,Find brunch in Canggu with strong coffee and eggs,ALIAS_CHILD_SCENARIO,OB-INT-0007,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0009,Find Ubud breakfast spot with rice-field or nature view,ALIAS_CHILD_SCENARIO,OB-INT-0007,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0010,Find breakfast in Sanur that isn't the hotel buffet,ALIAS_CHILD_SCENARIO,OB-INT-0007,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0015,Choose a romantic dinner in Uluwatu with sunset view,ALIAS_CHILD_SCENARIO,OB-INT-0014,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0020,Find late-night food in Sanur (limited options),ALIAS_CHILD_SCENARIO,OB-INT-0019,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0021,Post-clubbing food run in Canggu / Seminyak,ALIAS_CHILD_SCENARIO,OB-INT-0019,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0023,Find coffee spot open before 7 AM,ALIAS_CHILD_SCENARIO,OB-INT-0022,OPERATIONAL,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0027,Find 24/7 coworking for late-shift time zones,ALIAS_CHILD_SCENARIO,OB-INT-0026,OPERATIONAL,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0033,Do Campuhan Ridge Walk at sunrise,ALIAS_CHILD_SCENARIO,OB-INT-0032,LOW,override: Campuhan at sunrise is a district-specific instance of the sunrise-walk job (rule table had OVERRIDE),2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0035,Have a rainy-day backup for Ubud sightseeing plan,ALIAS_CHILD_SCENARIO,OB-INT-0034,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0036,Take a Balinese cooking class indoors when it rains,ALIAS_CHILD_SCENARIO,OB-INT-0034,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0040,Find kid-friendly cafe with playground in Seminyak,ALIAS_CHILD_SCENARIO,OB-INT-0037,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0041,Find kid-friendly food when travelling with a baby,ALIAS_CHILD_SCENARIO,OB-INT-0037,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0042,Plan a romantic dinner for couples anywhere in Bali,ALIAS_CHILD_SCENARIO,OB-INT-0014,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0051,Choose a birthday dinner / restaurant for a group,ALIAS_CHILD_SCENARIO,OB-INT-0016,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0055,Get a massage after Mount Batur,ALIAS_CHILD_SCENARIO,OB-INT-0054,LOW,"override: post-trek massage is a context-specific instance of the massage job, not an entity lookup (rule table had OVERRIDE)",2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0061,Choose beginner surf spot in Uluwatu area,ALIAS_CHILD_SCENARIO,OB-INT-0060,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0064,Do a day trip to Munduk waterfalls from Ubud,ALIAS_CHILD_SCENARIO,OB-INT-0063,LOW,override: Munduk-from-Ubud is a route-specific instance of the waterfall day trip (rule table had OVERRIDE),2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0076,Find vegetarian options at local warungs,ALIAS_CHILD_SCENARIO,OB-INT-0075,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0077,"Find vegan / vegetarian spots outside Ubud (Canggu, Uluwatu, Seminyak)",ALIAS_CHILD_SCENARIO,OB-INT-0075,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0093,Have rainy-hour backup activity within 15 min,ALIAS_CHILD_SCENARIO,OB-INT-0034,LOW,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
